group	n_cells	n_cells_scored	ATF3_extended_-/-_(12r)	BCL11B_extended_+/+_(215r)	BCL11B_extended_+/-_(35r)	BCL11B_extended_-/-_(135r)	ETS1_extended_+/+_(738r)	IRF8_extended_-/-_(210r)	KLF3_extended_-/+_(22r)	KLF4_extended_-/+_(311r)	KLF4_extended_-/-_(83r)	KLF6_extended_+/+_(561r)	KLF6_extended_-/+_(141r)	KLF6_extended_-/-_(97r)	LEF1_extended_+/+_(187r)	LEF1_extended_-/-_(67r)	RUNX3_extended_+/+_(227r)	RXRA_extended_+/-_(30r)	SPI1_extended_+/+_(2197r)	SPI1_extended_+/-_(254r)	SPI1_extended_-/-_(139r)	SPIB_extended_+/+_(491r)	SPIB_extended_-/-_(72r)	TBX21_extended_+/+_(337r)	TBX21_extended_-/-_(13r)	TCF7_extended_+/+_(167r)	TCF7_extended_-/-_(55r)
0	873	690	0.09553240673689355	0.03495990801473694	0.008556982255675836	0.05005336932293835	0.07447803236718199	0.011695765433273712	0.06025115886729878	0.19635998760507578	0.09829422838647695	0.06233819096275664	0.06680559712741152	0.28991106050487647	0.023977167546245914	0.014820086054102177	0.017423308946574814	0.1377858185793475	0.004762954546119377	0.2944169360611634	0.01168060482529593	0.0030013073069140805	0.03263125397167674	0.007127341788769451	0.0006946192938140298	0.025499907310098543	0.02104635849559519
1	589	71	0.1661178671704518	0.008666486417796607	0.04215186745612466	0.031005157287479195	0.036313541353064936	0.05810045706171289	0.1024164285980352	0.11606742192402199	0.19179667879086884	0.12779924282915658	0.03467194303011076	0.3058886318821832	0.0	9.243364769642252e-06	0.015930353064038623	0.056199518526511755	0.07360453961766891	0.22871328421496923	0.06469874161194072	0.026124292623113315	0.06560291313354995	0.007136440368842997	0.014475843599151038	0.0	0.0
2	396	280	0.08996994728382134	0.04364681021069006	0.011611386060086874	0.047662751581250315	0.07708794483292375	0.011170234582840412	0.04342972289757762	0.19785596796541802	0.09168357067749437	0.05162411955677225	0.07915700014017443	0.2707283346039639	0.049350712970064735	0.0298754810226018	0.01905051726231875	0.13738444211795306	0.0035130683986574446	0.3032065065609304	0.011707979195781044	0.0022036322599015517	0.027917593077278237	0.006755240512730525	0.0006876063088587993	0.05189228234308955	0.04000728951261925
3	333	270	0.07821551750136393	0.03726544252343585	0.024653534915582392	0.08071557842706291	0.058055269743442654	0.010633553723345665	0.07641381615398933	0.1878894083314073	0.0950914968383911	0.08176343152524605	0.04402383351122013	0.30734520289685113	0.0014452832593679472	0.008167388438418315	0.05743389579442094	0.10544054306731036	0.008095112744544303	0.27212651304625857	0.012721873726128239	0.004221020773642574	0.030377679169533937	0.06471516577206086	0.07456099226030379	0.004282074191489155	0.009947472354756334
4	301	49	0.130904982468226	0.009731138477422742	0.04752439093082741	0.032353957695793245	0.04301105459218396	0.048702830010529594	0.0961303060379866	0.12723746213944293	0.18543332666619378	0.11956439450994899	0.0398128784827419	0.30610957680736395	0.0006633505561391061	0.001504124674321069	0.01819939074251173	0.07051814285563211	0.0613338590516949	0.2504033235257413	0.054135266614374365	0.024129887887479766	0.06396431731327511	0.0071233320179408715	0.02930559811686676	0.0008115897805064143	0.0011962752516668858
5	246	152	0.08103357508249856	0.010511474602406996	0.027010564385647612	0.03882243979430646	0.05780339830657907	0.03482530025930912	0.0660437897860756	0.17578790105030292	0.15465793008282644	0.06875129082305717	0.04905669974734603	0.2858555877440601	0.0028600722075453615	0.0008431251819725947	0.014020906869980079	0.09394202597878214	0.014103887527483313	0.2938580558119424	0.037180259649358206	0.04758024699866001	0.062307633117882386	0.005931626993495428	0.03140674997594941	0.0011753641285051377	0.0010904346597217947
6	122	36	0.12926413255360622	0.018492136451093998	0.027560021713919074	0.04459075751053934	0.05658796056401352	0.029926183837465162	0.07490699242031683	0.16241461866913062	0.1484054509547554	0.10916294244892169	0.04907139220906398	0.3079327094906056	0.00599735516653647	0.006470166010571864	0.021583954635561897	0.10797801465689535	0.029390749676831085	0.28345992824070426	0.032119074893316474	0.012343113944252856	0.05333005876740604	0.013763043196684817	0.022762128191841688	0.0063852788907343	0.008168572242522903
7	23	1	0.0663261529350803	0.0099447913277453	0.0911931728054313	0.0335537625122346	0.048661175596877	0.0387022408341528	0.0734257969434518	0.1445552911135341	0.1533622832435672	0.084464783430179	0.0371155242446721	0.2720752030147141	0.0004934321860292	0.0	0.0107309762165409	0.1047931008956991	0.0245328280109826	0.2616755059181893	0.0334117782389677	0.0313764573334907	0.055003454487132	0.0066253226500499	0.0959616665812535	0.0	0.0
8	21	9	0.13026500851284328	0.008708693199652666	0.03190677114727744	0.03686550073156529	0.049463929263123624	0.04964897005758648	0.06916264577823535	0.15350561814334085	0.19224607364241178	0.10027810072878061	0.03866138098635577	0.30789070491124787	0.00014191370933933333	0.0	0.014866034271599366	0.07643669652330541	0.03515830728063987	0.2911771757488786	0.05577008524204394	0.04678533438043385	0.07573466111755395	0.005944566098331	0.0122548880043883	3.516543787101111e-05	0.0
