group	ATF3_extended_-/-_(12r)	BCL11B_extended_+/+_(215r)	BCL11B_extended_+/-_(35r)	BCL11B_extended_-/-_(135r)	ETS1_extended_+/+_(738r)	IRF8_extended_-/-_(210r)	KLF3_extended_-/+_(22r)	KLF4_extended_-/+_(311r)	KLF4_extended_-/-_(83r)	KLF6_extended_+/+_(561r)	KLF6_extended_-/+_(141r)	KLF6_extended_-/-_(97r)	LEF1_extended_+/+_(187r)	LEF1_extended_-/-_(67r)	RUNX3_extended_+/+_(227r)	RXRA_extended_+/-_(30r)	SPI1_extended_+/+_(2197r)	SPI1_extended_+/-_(254r)	SPI1_extended_-/-_(139r)	SPIB_extended_+/+_(491r)	SPIB_extended_-/-_(72r)	TBX21_extended_+/+_(337r)	TBX21_extended_-/-_(13r)	TCF7_extended_+/+_(167r)	TCF7_extended_-/-_(55r)
B cells	0.2669067276646184	0.21279198159708468	0.32312472933620584	0.25493726862042654	0.26487312875765057	0.35390853079086204	0.28030938658485305	0.2723133265853781	0.3108864681345068	0.2775132323149956	0.26019424295107396	0.27665818621312	0.1873449909507573	0.17412720697810724	0.239284473123205	0.25704662050599636	0.2994114297498205	0.27957888914407536	0.3535773414480108	0.5220884560070111	0.33086557081371437	0.21471998129181324	0.3204979948697323	0.1735020387917261	0.17376588741095944
FCGR3A+ monocytes	0.22298166736822944	0.18376122437211362	0.2619115906609705	0.19684876655092998	0.19759716817679296	0.2626377465857579	0.2272253354790026	0.199257886776524	0.23261070697427866	0.23326520939508621	0.19831705516732634	0.21265059017224175	0.1692555684050282	0.17315624676396557	0.20160016969219074	0.19511129375893532	0.31974024133887424	0.20624005370601983	0.264667171545915	0.2544180592772729	0.23351247310434498	0.18837211713244062	0.22398567948422843	0.1695322140573574	0.17074420146444447
NK cells	0.3080353867482236	0.3493604216445605	0.3702372589728986	0.3935572283221387	0.313654003920807	0.2785002847625433	0.35405033219653703	0.33202543512034255	0.3129358411771095	0.35018142063806335	0.29550971425952854	0.33799861454844016	0.18359619335089794	0.2756105060176217	0.47074530372929146	0.31456133598870084	0.2905586363624896	0.32431930184658275	0.28864688447915043	0.2542911227587069	0.30664415076138163	0.5962263101125183	0.6043579627277635	0.21218010736865256	0.26670503034068804
Plasmacytoid dendritic cells	0.16861389595949916	0.16801587224675607	0.1743459771644421	0.1685354145997754	0.16865733730229526	0.17065569599632402	0.1692626202075841	0.1687335327775814	0.16958960410870005	0.16933420112008646	0.16849217874107203	0.16896458414670246	0.1675022407051664	0.1674453888423023	0.1682246608946225	0.16886531495292556	0.17052690628998346	0.16892867103649223	0.17010774505891713	0.1719633464830026	0.1697001500137173	0.16814119181088483	0.17412924404979546	0.1674453888423022	0.1674453888423022
T cells	0.3281509349130898	0.37797963782996236	0.2908024228544547	0.3241646987423741	0.35389780109906266	0.2862476976599855	0.2922679731897868	0.34341795984879664	0.31300963458504527	0.30007117805067296	0.3732136068765495	0.32669695699820667	0.4906642474685361	0.46949341506327735	0.3066544198192289	0.35182565761916174	0.23396718482075374	0.3425221256171017	0.2843884074830596	0.22091778358979142	0.3017004353962047	0.2494744678639701	0.17453911545467993	0.48693362455992184	0.46513397909963305
unknown	0.563275482693758	0.5248020116427865	0.4078834645152697	0.5157837247201116	0.5522656638883994	0.49210459771302584	0.5375399758691739	0.5426891292224907	0.5317618480705615	0.5324068598724112	0.5487044673099135	0.5433795162044522	0.4644751944121972	0.46503592291150553	0.45391627468644025	0.5559700996345442	0.43495954947124515	0.5424956437564313	0.4799047507922697	0.3678989398868161	0.5281788197979651	0.35556153828843917	0.208038169390789	0.4733939451798401	0.4648775850742105
