group	n_cells	n_cells_scored	ATF3_direct_-/-_(17r)	BACH1_direct_-/+_(44r)	BACH1_direct_-/-_(16r)	BACH2_direct_+/-_(71r)	BACH2_direct_-/+_(453r)	BCL11A_direct_+/+_(581r)	BCL11A_direct_+/-_(145r)	BCL11A_direct_-/+_(90r)	BCL11A_direct_-/-_(52r)	CREB1_direct_-/+_(19r)	CREB1_direct_-/-_(17r)	CREB5_direct_+/+_(322r)	CREB5_direct_+/-_(284r)	CREB5_direct_-/+_(42r)	CREB5_direct_-/-_(36r)	ELF2_direct_-/-_(38r)	FOXO1_direct_-/+_(395r)	FOXO1_direct_-/-_(305r)	IRF8_direct_-/-_(245r)	KLF3_direct_-/+_(19r)	KLF4_direct_+/+_(536r)	KLF6_direct_+/+_(114r)	KLF6_direct_-/-_(18r)	LEF1_direct_+/+_(301r)	LEF1_direct_+/-_(178r)	LEF1_direct_-/+_(252r)	LEF1_direct_-/-_(196r)	POU2AF1_direct_+/+_(71r)	RUNX3_direct_+/+_(401r)	RXRA_direct_+/+_(1082r)	RXRA_direct_-/+_(20r)	SPI1_direct_+/+_(2758r)	SPI1_direct_+/-_(510r)	SPI1_direct_-/-_(176r)	SPIB_direct_+/+_(707r)	SPIB_direct_+/-_(43r)	SPIB_direct_-/-_(102r)	TBX21_direct_+/+_(524r)	TBX21_direct_-/+_(37r)	TCF7L2_direct_+/+_(622r)	TCF7_direct_+/+_(198r)	TCF7_direct_-/-_(64r)	ZEB1_direct_-/+_(10r)	ZNF207_direct_-/+_(20r)	ZNF610_direct_+/+_(11r)
B cells	267	161	0.14508530869405373	0.07180687183511383	0.06335644249589296	0.19293482024920913	0.029592108971092854	0.04882386547170573	0.09166502215723771	0.005590966347563348	0.09634398323822761	0.15959415963074847	0.3087336084391756	0.03612491431904464	0.546495080030337	0.4561413197012238	0.1373502895929973	0.1950670059268903	0.05830427765421016	0.22302834777606878	0.02812314782778716	0.07667363089530153	0.016332599903886528	0.03189483136337784	0.2682989348255982	0.024143975459834655	0.022845529876585818	0.039155641722874286	0.06678712902683963	0.06984873836672571	0.01261295720192358	0.01720679202209499	0.11400008689858931	0.012292812563231597	0.20180396792536012	0.03499755260718961	0.04294703151806427	0.2960778807676292	0.05571948772943502	0.00911819880209242	0.05526409174701613	0.00870154675719124	0.0014194899199099034	0.00463742554997837	0.007089959350770962	0.22932727388090476	0.062275253350768174
FCGR3A+ monocytes	301	49	0.217409682060699	0.06931500417985614	0.2196754034725149	0.24355246034756808	0.10295138346446932	0.027529845395141937	0.11418045956695064	0.032049885614176044	0.07575343979645868	0.21112121695692543	0.28086131187984853	0.12809874612964178	0.5226335647845386	0.3482827127234257	0.22389835347863327	0.25410288593855435	0.0987655865692569	0.2007400590231396	0.036070404449696725	0.11130877541240553	0.06073095311488617	0.0644228985585374	0.293571733231008	0.018729748379527764	0.031058964843076617	0.0797881856971715	0.0675596157238133	0.004840916952493762	0.016660485005065593	0.057023414261270076	0.028440676737050537	0.05560557052904462	0.1824984090904849	0.05579756507411876	0.02534673504138323	0.35420224517304866	0.0645177902384582	0.011976605615470095	0.06105802603375645	0.04232122916152881	0.0009958202353748042	0.0011904620275825061	0.03441787107914448	0.1962537446690868	0.09053807459632143
NK cells	333	270	0.14455565086843578	0.13138662328369188	0.05432193866640342	0.23777149204767098	0.07051865403986796	0.006430790683858872	0.12079823611277733	0.07974360485784963	0.0421150619435096	0.18930225853329746	0.2889444800053414	0.03393618910399989	0.5644502676648304	0.4310840881701049	0.1273244334595409	0.17384279010008052	0.09211830650171329	0.19490907566041443	0.006112543766488706	0.08847915554672449	0.008467227701647656	0.05036176517654748	0.31861034116259024	0.014747736227473201	0.014260056804041169	0.021934265065695915	0.05386372342013021	0.002576303677916651	0.06910686226833451	0.0065366860771382115	0.07841901695166181	0.006567398712201168	0.1941484737601705	0.011775202614642941	0.005211938555825859	0.30693158336589843	0.03472209118717106	0.06868718218891043	0.0556797081336277	0.0003075596381023768	0.003775506024623846	0.00854860905486872	0.0001562332930309826	0.21519628889382383	0.09861383095893418
Plasmacytoid dendritic cells	23	1	0.1277644968713668	0.082129590374094	0.0815775594048412	0.1893698410762152	0.0281097860195238	0.0308975504186728	0.0993958050954536	0.0014570533224763	0.0783558824031842	0.1486377502717486	0.2787030868310015	0.0294668978445011	0.516189129000072	0.3656186880703869	0.1070644261850124	0.2400534146826092	0.0756449286973241	0.2060360488271935	0.0274415695658676	0.08501934382926	0.0311274656033622	0.0600174932111535	0.3346904532780615	0.0120370103946944	0.0290093745243495	0.0384699441994578	0.0652286230948075	0.0380497508703118	0.0102768838507772	0.0399896680093739	0.1115478569842327	0.0207303180524078	0.1881623579922753	0.0364971332243151	0.0282685972984849	0.3274922661378203	0.0612521935267555	0.0090664747674578	0.0599360186302224	0.0187675883101869	0.0	0.0110204308238951	0.1334887852542749	0.2370253164556962	0.0461207679728665
T cells	396	280	0.15718923145540692	0.0809118506132996	0.04952774539196087	0.20721286971216593	0.025933293673729364	0.0035564377457073847	0.1136972013184423	0.026575744036603417	0.04049443990941322	0.14216727277888255	0.2988598870594207	0.0188625001748809	0.5715922282529287	0.477386447583697	0.12242842293849951	0.1622143090905144	0.05237806300722159	0.23461122327503753	0.008024281188634153	0.050287047565616194	9.341231645141937e-05	0.022866160793945732	0.2754491053583325	0.052781904559540016	0.005280430577938181	0.007803888173820074	0.07088294594986559	0.007834292005642509	0.017500104431032393	0.003493703343972554	0.10071269947019443	0.002425801735960637	0.20103879937495758	0.00962198316201892	0.0035628545519169547	0.32986330449320234	0.030345786438048406	0.012375227069025302	0.1101177721930553	6.422694674737739e-05	0.054395035744969074	0.04216082507494999	0.0	0.22112258494337106	0.13715820044933966
unknown	1584	797	0.1636476527805648	0.08865298753595718	0.0702019788285573	0.22144476966424176	0.045663715065876874	0.006993346413541723	0.11377892463735718	0.03353161649842988	0.04408112047383478	0.16111048613184697	0.3094707431086322	0.036979980602703515	0.5641213439150163	0.46619417954964226	0.14445032911590544	0.17917944935020164	0.06252406295856934	0.22271383656025143	0.01194964047190538	0.07488036657680892	0.008558640794025322	0.04374632060873102	0.3181561131589427	0.03276420935596373	0.010626447031230364	0.01966350568223677	0.06301969858700988	0.006677583609619152	0.017292268998571825	0.01143187356527991	0.07493655421688757	0.010127967475132787	0.19547855601971661	0.01665875304199436	0.006782435831492171	0.3353841158407209	0.03674438514216641	0.013839780517284543	0.08496319954051601	0.004968101365164683	0.023566634744084783	0.016929513793397417	0.004597158286501309	0.2257685173497885	0.14509316261055163
