group	ATF3_direct_-/-_(17r)	BACH1_direct_-/+_(44r)	BACH1_direct_-/-_(16r)	BACH2_direct_+/-_(71r)	BACH2_direct_-/+_(453r)	BCL11A_direct_+/+_(581r)	BCL11A_direct_+/-_(145r)	BCL11A_direct_-/+_(90r)	BCL11A_direct_-/-_(52r)	CREB1_direct_-/+_(19r)	CREB1_direct_-/-_(17r)	CREB5_direct_+/+_(322r)	CREB5_direct_+/-_(284r)	CREB5_direct_-/+_(42r)	CREB5_direct_-/-_(36r)	ELF2_direct_-/-_(38r)	FOXO1_direct_-/+_(395r)	FOXO1_direct_-/-_(305r)	IRF8_direct_-/-_(245r)	KLF3_direct_-/+_(19r)	KLF4_direct_+/+_(536r)	KLF6_direct_+/+_(114r)	KLF6_direct_-/-_(18r)	LEF1_direct_+/+_(301r)	LEF1_direct_+/-_(178r)	LEF1_direct_-/+_(252r)	LEF1_direct_-/-_(196r)	POU2AF1_direct_+/+_(71r)	RUNX3_direct_+/+_(401r)	RXRA_direct_+/+_(1082r)	RXRA_direct_-/+_(20r)	SPI1_direct_+/+_(2758r)	SPI1_direct_+/-_(510r)	SPI1_direct_-/-_(176r)	SPIB_direct_+/+_(707r)	SPIB_direct_+/-_(43r)	SPIB_direct_-/-_(102r)	TBX21_direct_+/+_(524r)	TBX21_direct_-/+_(37r)	TCF7L2_direct_+/+_(622r)	TCF7_direct_+/+_(198r)	TCF7_direct_-/-_(64r)	ZEB1_direct_-/+_(10r)	ZNF207_direct_-/+_(20r)	ZNF610_direct_+/+_(11r)
B cells	0.2701613102943966	0.2581978949023249	0.2705552115367331	0.26731491937404517	0.24453895096529932	0.4909501786733389	0.26143116835255387	0.19048841571775865	0.34943804564095604	0.27528478207256535	0.2793183221717006	0.2763397259224796	0.2753604359016446	0.27750196375983394	0.27642319863894027	0.28500959901552536	0.26682193949244704	0.2791657326083288	0.36658117659227873	0.28030938658485316	0.3266356979585857	0.258242448266117	0.2674226084048976	0.2558478093506835	0.3414149932731507	0.335667706534148	0.2822201852166303	0.5490976270220451	0.2301559694052253	0.3166870595186748	0.30710432124705433	0.29496826038998814	0.2800154498019446	0.3503069429788508	0.48184586028111487	0.26982402894781965	0.31455849738973574	0.2209813551740879	0.24960887522081843	0.3283922359470378	0.17534563202706044	0.20210418743107894	0.26612270816857664	0.280189274511379	0.22785400406362266
FCGR3A+ monocytes	0.22298712537554533	0.20179889102513004	0.27531379851755733	0.2145869863976455	0.24712433824325586	0.25357028322078834	0.211283804129744	0.20542006321860307	0.22796367561775832	0.2203826995077629	0.20825802279840155	0.2816756855525696	0.20834808910175573	0.20223375551248812	0.23038923733902372	0.2246292685899859	0.22673668750964138	0.20783873947234233	0.2634934453491061	0.2272253354790027	0.34233586656992854	0.22976233787864242	0.20953577753634578	0.19558181750020343	0.25638144203297253	0.284101969034825	0.21308104108359616	0.18631942538540347	0.19772385082178545	0.3168565437332511	0.18469007225668255	0.32833299075583133	0.2083073469749086	0.2722840334962354	0.2539399202639888	0.21379819278892065	0.23320001630257026	0.19315674122388338	0.2021134660830961	0.3840832673710278	0.16983750260697072	0.17080023047118487	0.35060551842766374	0.20658220494931023	0.20049450476354191
NK cells	0.3196263697432783	0.38051827839227137	0.30471796653224326	0.3412269137311358	0.3897047373977187	0.27335675481494226	0.33976255799465216	0.45211991300606613	0.3118926067142329	0.3496413226101247	0.3251089142456298	0.323402211328803	0.3314847566055792	0.32377748102082893	0.32021112622950165	0.32715150516708424	0.3760672443125277	0.3169551036772331	0.26098050750833046	0.35405033219653703	0.3109526565205397	0.35891691183686536	0.3365551746967026	0.25719069354145596	0.3498312622488483	0.3307456850308437	0.3119532514854406	0.2079026070351626	0.5019565324165145	0.27544875268885616	0.323741589451233	0.2873262841832426	0.3295223111319622	0.287313834959126	0.2646279913039541	0.32364327717846186	0.319859578836587	0.5363901712615387	0.29068910663219183	0.18271942646368367	0.2060667194806467	0.2570205003555387	0.1710379492161599	0.3268037682428505	0.30107764246072977
Plasmacytoid dendritic cells	0.16877425415406722	0.1688987328600693	0.16934296054905107	0.16886011849947757	0.16847661234528144	0.17133712565153947	0.1688876018171599	0.16753260469109965	0.16985613291982893	0.16892271904941114	0.16894204778310218	0.16879660723369028	0.1689393376068722	0.16876780047180562	0.16872275989671692	0.1695283238562234	0.16924908722286003	0.16896995043861784	0.17061465429472045	0.1692626202075841	0.17199098582191208	0.16971777194221138	0.16919568679982122	0.16812401143019695	0.17088005853315025	0.1700924269460946	0.16909790353748244	0.1716552375978464	0.1681574754785038	0.17232941172698812	0.16953979789624596	0.17055420699129598	0.16899623775908368	0.17048448538731642	0.17134938730408267	0.1690631247918949	0.16988999300675256	0.16816396679827883	0.16868608503215476	0.1726832817177989	0.1674453888423023	0.16847707422828817	0.1975742495722438	0.16914852654309465	0.16810913464911081
T cells	0.3341520156921478	0.31953867392589197	0.2992425309668665	0.32841440862525706	0.2750467255947815	0.2365599849877611	0.3367015305341474	0.29527026742359985	0.31147888533880885	0.318189825789166	0.3338314738860234	0.2701178580998319	0.33767761308586497	0.3411263053662491	0.31986839578443693	0.3232563252061563	0.3076205315149604	0.3443569631194555	0.2861171451810889	0.2922679731897869	0.17072115570348634	0.2754716413070284	0.32312087291867286	0.4104292322508216	0.25525762056862966	0.2435757004650767	0.3503408301594433	0.28344692194989585	0.29214345720669155	0.23597427500219526	0.36185765723083707	0.22464465477576923	0.3385214697761274	0.27307209107831565	0.24198133622416906	0.3370881754753262	0.30891497809511426	0.2731769723712598	0.3797225085315027	0.17165718120653872	0.48678599517516985	0.48121852735959136	0.1674453888423022	0.33462729451552353	0.34628666402768726
unknown	0.548247376648396	0.5275348236207749	0.5018518930893701	0.544492204910052	0.5041123124669693	0.38919403142813835	0.5450808622506723	0.4993980161880077	0.5021018477321232	0.5336733418948887	0.5484109826012868	0.4727582584068466	0.5430642483074031	0.5470819366577915	0.5460996383930696	0.539396865776598	0.519049327433446	0.546545533992907	0.4865648693224651	0.5375399758691739	0.29738235563703497	0.5469079616684257	0.5547707109076583	0.5305909337741295	0.47067325888773537	0.4504423568531055	0.5397880999717716	0.3798373963459064	0.43692855921465823	0.4415340889408482	0.4976707902271853	0.4150371136886619	0.5405144887593241	0.47866915052852566	0.4029575643376403	0.5508944019243676	0.5253102448488924	0.4158935149021188	0.5505262098861705	0.28294262341221077	0.47524850766606275	0.44730054803430497	0.2791696332480541	0.5454923680084147	0.5807097590334255
