group	ATF3_direct_-/-_(17r)	BACH1_direct_-/+_(44r)	BACH1_direct_-/-_(16r)	BACH2_direct_+/-_(71r)	BACH2_direct_-/+_(453r)	BCL11A_direct_+/+_(581r)	BCL11A_direct_+/-_(145r)	BCL11A_direct_-/+_(90r)	BCL11A_direct_-/-_(52r)	CREB1_direct_-/+_(19r)	CREB1_direct_-/-_(17r)	CREB5_direct_+/+_(322r)	CREB5_direct_+/-_(284r)	CREB5_direct_-/+_(42r)	CREB5_direct_-/-_(36r)	ELF2_direct_-/-_(38r)	FOXO1_direct_-/+_(395r)	FOXO1_direct_-/-_(305r)	IRF8_direct_-/-_(245r)	KLF3_direct_-/+_(19r)	KLF4_direct_+/+_(536r)	KLF6_direct_+/+_(114r)	KLF6_direct_-/-_(18r)	LEF1_direct_+/+_(301r)	LEF1_direct_+/-_(178r)	LEF1_direct_-/+_(252r)	LEF1_direct_-/-_(196r)	POU2AF1_direct_+/+_(71r)	RUNX3_direct_+/+_(401r)	RXRA_direct_+/+_(1082r)	RXRA_direct_-/+_(20r)	SPI1_direct_+/+_(2758r)	SPI1_direct_+/-_(510r)	SPI1_direct_-/-_(176r)	SPIB_direct_+/+_(707r)	SPIB_direct_+/-_(43r)	SPIB_direct_-/-_(102r)	TBX21_direct_+/+_(524r)	TBX21_direct_-/+_(37r)	TCF7L2_direct_+/+_(622r)	TCF7_direct_+/+_(198r)	TCF7_direct_-/-_(64r)	ZEB1_direct_-/+_(10r)	ZNF207_direct_-/+_(20r)	ZNF610_direct_+/+_(11r)
0	0.49183219599930206	0.4947447487745802	0.4111798336657163	0.4983450653433664	0.4247627733037076	0.3228995362054672	0.5040785026744652	0.46915677060036887	0.4441885997218258	0.48008108027240304	0.5109211564454876	0.37497091434922725	0.5055186141600048	0.5160422999145975	0.4801815600380831	0.4842872047487973	0.4637068780704948	0.5096840569957293	0.40699579461443014	0.48163490090887995	0.20107032527948332	0.482486222776919	0.5167564766888254	0.5067787452618941	0.3965984061623741	0.36444810064724276	0.49936407291420015	0.3794691905965023	0.4105692183634041	0.3408429658407981	0.4938383338031487	0.31238033822929223	0.5037034696846014	0.39295471895693546	0.3346641700431402	0.5079974268246493	0.46363887051083186	0.39098159533208354	0.5222712911390446	0.18377052241922187	0.4952744557712151	0.46099928163953774	0.19492543113740612	0.5095969279892711	0.5518045175304396
1	0.2508141367347194	0.2143446367337124	0.3375122088257835	0.23414432583060552	0.3056053089140848	0.29160190428004484	0.224563610463674	0.21408291545063962	0.2546059481133117	0.24577839640588306	0.22071836985441673	0.3689304798903059	0.22160054730114587	0.2125377403520693	0.267775162300675	0.24945693914934508	0.24765643480039878	0.22060391360447307	0.32332036191257607	0.2516203352829549	0.4543922776424205	0.2564728013448869	0.22010304123548408	0.2059096378103228	0.30406189974346054	0.3348238261188178	0.22490334369611908	0.1775899714165705	0.202362509349583	0.3963061820171816	0.18102106855759714	0.42539853416659035	0.21889927559789846	0.32923050405479615	0.2952959965247228	0.22674335484473251	0.25900719353562873	0.19951427803498512	0.21205998456781983	0.4998040998993868	0.1674453888423023	0.1674453888423023	0.46095769267323927	0.21639655376942724	0.2066112227891147
2	0.3341520156921478	0.31953867392589197	0.2992425309668665	0.32841440862525706	0.2750467255947815	0.2365599849877611	0.3367015305341474	0.29527026742359985	0.31147888533880885	0.318189825789166	0.3338314738860234	0.2701178580998319	0.33767761308586497	0.3411263053662491	0.31986839578443693	0.3232563252061563	0.3076205315149604	0.3443569631194555	0.2861171451810889	0.2922679731897869	0.17072115570348634	0.2754716413070284	0.32312087291867286	0.4104292322508216	0.25525762056862966	0.2435757004650767	0.3503408301594433	0.28344692194989585	0.29214345720669155	0.23597427500219526	0.36185765723083707	0.22464465477576923	0.3385214697761274	0.27307209107831565	0.24198133622416906	0.3370881754753262	0.30891497809511426	0.2731769723712598	0.3797225085315027	0.17165718120653872	0.48678599517516985	0.48121852735959136	0.1674453888423022	0.33462729451552353	0.34628666402768726
3	0.3196263697432783	0.38051827839227137	0.30471796653224326	0.3412269137311358	0.3897047373977187	0.27335675481494226	0.33976255799465216	0.45211991300606613	0.3118926067142329	0.3496413226101247	0.3251089142456298	0.323402211328803	0.3314847566055792	0.32377748102082893	0.32021112622950165	0.32715150516708424	0.3760672443125277	0.3169551036772331	0.26098050750833046	0.35405033219653703	0.3109526565205397	0.35891691183686536	0.3365551746967026	0.25719069354145596	0.3498312622488483	0.3307456850308437	0.3119532514854406	0.2079026070351626	0.5019565324165145	0.27544875268885616	0.323741589451233	0.2873262841832426	0.3295223111319622	0.287313834959126	0.2646279913039541	0.32364327717846186	0.319859578836587	0.5363901712615387	0.29068910663219183	0.18271942646368367	0.2060667194806467	0.2570205003555387	0.1710379492161599	0.3268037682428505	0.30107764246072977
4	0.22298712537554533	0.20179889102513004	0.27531379851755733	0.2145869863976455	0.24712433824325586	0.25357028322078834	0.211283804129744	0.20542006321860307	0.22796367561775832	0.2203826995077629	0.20825802279840155	0.2816756855525696	0.20834808910175573	0.20223375551248812	0.23038923733902372	0.2246292685899859	0.22673668750964138	0.20783873947234233	0.2634934453491061	0.2272253354790027	0.34233586656992854	0.22976233787864242	0.20953577753634578	0.19558181750020343	0.25638144203297253	0.284101969034825	0.21308104108359616	0.18631942538540347	0.19772385082178545	0.3168565437332511	0.18469007225668255	0.32833299075583133	0.2083073469749086	0.2722840334962354	0.2539399202639888	0.21379819278892065	0.23320001630257026	0.19315674122388338	0.2021134660830961	0.3840832673710278	0.16983750260697072	0.17080023047118487	0.35060551842766374	0.20658220494931023	0.20049450476354191
5	0.2643482800416931	0.25458110992077077	0.26165928357868606	0.26244405492191636	0.23830410820722314	0.4771889132871162	0.2568007889842808	0.18899213318906416	0.3413425530295825	0.26943245483399325	0.27460820949308695	0.2660414426654599	0.27077311265986026	0.27305781818253394	0.2699239113377293	0.27919685705619257	0.26083594571538893	0.27444861350548433	0.3569281007597115	0.2752202720244382	0.31290484234437277	0.25242629491066093	0.26287397521782097	0.2526219312947232	0.3323607402433968	0.32377916393602735	0.27674021805460036	0.5410662999309243	0.2270104381806084	0.3041631226639949	0.3032856772195389	0.28328837047432576	0.2750843273751046	0.3390070869091165	0.46844107621919784	0.26475497889785615	0.30684874788371685	0.21803376376348405	0.24607830691795707	0.31287441340664524	0.1754364164231318	0.2020755507719667	0.24674993768649423	0.27539774480146284	0.22390411627790152
6	0.2066516009358954	0.19955814964469965	0.2265061200649232	0.20295838213015926	0.21881982908256759	0.2101224697773607	0.20352087747470182	0.1961704869155957	0.20964456527597575	0.2066251185828193	0.2011970130694256	0.23487069555507623	0.20017712638127994	0.19895969632280686	0.21127055139921047	0.2056710290155086	0.2096468299505515	0.20008913598675204	0.20868766349192636	0.20577297314045284	0.23980587308847634	0.22178465505237432	0.20316396699503747	0.1951998815602397	0.21101529493645377	0.2278009933907309	0.20201985066186268	0.17743979519049402	0.19778335814057435	0.23761362028049093	0.19158390654486113	0.23661698983418378	0.20194367271171143	0.22314627874927195	0.21096528639958245	0.20476081602912055	0.21216849275332528	0.19777347728902528	0.19524556866886833	0.23766665366895523	0.17757716741251728	0.18153872846019858	0.22331836020993723	0.2035454656108867	0.2055437410104909
7	0.16877425415406722	0.1688987328600693	0.16934296054905107	0.16886011849947757	0.16847661234528144	0.17133712565153947	0.1688876018171599	0.16753260469109965	0.16985613291982893	0.16892271904941114	0.16894204778310218	0.16879660723369028	0.1689393376068722	0.16876780047180562	0.16872275989671692	0.1695283238562234	0.16924908722286003	0.16896995043861784	0.17061465429472045	0.1692626202075841	0.17199098582191208	0.16971777194221138	0.16919568679982122	0.16812401143019695	0.17088005853315025	0.1700924269460946	0.16909790353748244	0.1716552375978464	0.1681574754785038	0.17232941172698812	0.16953979789624596	0.17055420699129598	0.16899623775908368	0.17048448538731642	0.17134938730408267	0.1690631247918949	0.16988999300675256	0.16816396679827883	0.16868608503215476	0.1726832817177989	0.1674453888423023	0.16847707422828817	0.1975742495722438	0.16914852654309465	0.16810913464911081
8	0.18000515698116015	0.17550396826152903	0.1866150817550919	0.17809007350467843	0.18025883138220933	0.20239526914319006	0.177471588393453	0.17016702899245706	0.18688759033512714	0.18022342760610865	0.17812721043533986	0.18999270924501144	0.17777998934547923	0.17757665605827944	0.18154885854166514	0.18041339495005626	0.18027154194136874	0.17813446846256598	0.1907789044129088	0.17889758023473668	0.1998539213281454	0.17978355976522098	0.177486838681002	0.17475310055758897	0.18879018797470581	0.1950289819471045	0.17968404703560625	0.19422300751581734	0.17392132260194826	0.19628402092679575	0.17742682608088667	0.19389055417762358	0.17856432854614257	0.19387449438094673	0.20162381270654617	0.17853925713831142	0.18506737095972714	0.1733662858332864	0.17510831945775585	0.2050292330864678	0.16746944169665268	0.168144888694987	0.22296406819906744	0.17831107945703972	0.17543584142415936
