group	n_cells	n_cells_scored	ATF3_extended_-/-_(12r)	BCL11B_extended_+/+_(215r)	BCL11B_extended_+/-_(35r)	BCL11B_extended_-/-_(135r)	ETS1_extended_+/+_(738r)	IRF8_extended_-/-_(210r)	KLF3_extended_-/+_(22r)	KLF4_extended_-/+_(311r)	KLF4_extended_-/-_(83r)	KLF6_extended_+/+_(561r)	KLF6_extended_-/+_(141r)	KLF6_extended_-/-_(97r)	LEF1_extended_+/+_(187r)	LEF1_extended_-/-_(67r)	RUNX3_extended_+/+_(227r)	RXRA_extended_+/-_(30r)	SPI1_extended_+/+_(2197r)	SPI1_extended_+/-_(254r)	SPI1_extended_-/-_(139r)	SPIB_extended_+/+_(491r)	SPIB_extended_-/-_(72r)	TBX21_extended_+/+_(337r)	TBX21_extended_-/-_(13r)	TCF7_extended_+/+_(167r)	TCF7_extended_-/-_(55r)
B cells	267	161	0.08378564278978491	0.010410698002253027	0.027284265384744932	0.03871304568520913	0.057337216807255474	0.03565395260828115	0.06621813577321495	0.1745423075958765	0.1567591306544803	0.07051365907865662	0.04847559497188694	0.2870873644801141	0.0027081254591984406	0.0007959939606200894	0.01406815001665445	0.09296346718934555	0.015280842668964114	0.29370819295127426	0.03821944244646486	0.04753581088956662	0.06305821232283296	0.005932350297492448	0.030336148996172697	0.0011116263135007454	0.0010294786849547378
FCGR3A+ monocytes	301	49	0.130904982468226	0.009731138477422742	0.04752439093082741	0.032353957695793245	0.04301105459218396	0.048702830010529594	0.0961303060379866	0.12723746213944293	0.18543332666619378	0.11956439450994899	0.0398128784827419	0.30610957680736395	0.0006633505561391061	0.001504124674321069	0.01819939074251173	0.07051814285563211	0.0613338590516949	0.2504033235257413	0.054135266614374365	0.024129887887479766	0.06396431731327511	0.0071233320179408715	0.02930559811686676	0.0008115897805064143	0.0011962752516668858
NK cells	333	270	0.07821551750136393	0.03726544252343585	0.024653534915582392	0.08071557842706291	0.058055269743442654	0.010633553723345665	0.07641381615398933	0.1878894083314073	0.0950914968383911	0.08176343152524605	0.04402383351122013	0.30734520289685113	0.0014452832593679472	0.008167388438418315	0.05743389579442094	0.10544054306731036	0.008095112744544303	0.27212651304625857	0.012721873726128239	0.004221020773642574	0.030377679169533937	0.06471516577206086	0.07456099226030379	0.004282074191489155	0.009947472354756334
Plasmacytoid dendritic cells	23	1	0.0663261529350803	0.0099447913277453	0.0911931728054313	0.0335537625122346	0.048661175596877	0.0387022408341528	0.0734257969434518	0.1445552911135341	0.1533622832435672	0.084464783430179	0.0371155242446721	0.2720752030147141	0.0004934321860292	0.0	0.0107309762165409	0.1047931008956991	0.0245328280109826	0.2616755059181893	0.0334117782389677	0.0313764573334907	0.055003454487132	0.0066253226500499	0.0959616665812535	0.0	0.0
T cells	396	280	0.08996994728382134	0.04364681021069006	0.011611386060086874	0.047662751581250315	0.07708794483292375	0.011170234582840412	0.04342972289757762	0.19785596796541802	0.09168357067749437	0.05162411955677225	0.07915700014017443	0.2707283346039639	0.049350712970064735	0.0298754810226018	0.01905051726231875	0.13738444211795306	0.0035130683986574446	0.3032065065609304	0.011707979195781044	0.0022036322599015517	0.027917593077278237	0.006755240512730525	0.0006876063088587993	0.05189228234308955	0.04000728951261925
unknown	1584	797	0.1033440878161712	0.03187374401263667	0.012408106809915012	0.04810973434205508	0.07027010081521665	0.016653140801115712	0.06466940749815316	0.18767390800024658	0.10888729989359094	0.07028477281472192	0.06314195745618334	0.29214843432077986	0.021029046917070256	0.013123515222847847	0.01747824417511116	0.1291713791251949	0.012008065166929463	0.2880688663464629	0.017326869109236354	0.00548316050188816	0.03650345569456162	0.007427882880200035	0.00291908258867968	0.022364875889629144	0.018589781634493735
