group	ATF3_extended_-/-_(10g)	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/-_(37g)	BCL11B_extended_-/-_(121g)	ETS1_extended_+/+_(305g)	IRF8_extended_-/-_(121g)	KLF3_extended_-/+_(14g)	KLF4_extended_-/+_(137g)	KLF4_extended_-/-_(61g)	KLF6_extended_+/+_(337g)	KLF6_extended_-/+_(80g)	KLF6_extended_-/-_(67g)	LEF1_extended_+/+_(133g)	LEF1_extended_-/-_(60g)	RUNX3_extended_+/+_(160g)	RXRA_extended_+/-_(34g)	SPI1_extended_+/+_(699g)	SPI1_extended_+/-_(212g)	SPI1_extended_-/-_(57g)	SPIB_extended_+/+_(222g)	SPIB_extended_-/-_(37g)	TBX21_extended_+/+_(196g)	TBX21_extended_-/-_(12g)	TCF7_extended_+/+_(123g)	TCF7_extended_-/-_(52g)
0	0.5067649136382357	0.5394471883050258	0.5334781541567155	0.4150650703021107	0.546871319221018	0.5382184601384744	0.4782654584776539	0.5290583960742351	0.5185363274048007	0.48896233533736433	0.5205686520017064	0.5154459835361189	0.5410165672632155	0.4409984378506341	0.44802001799099156	0.39693033814984	0.4278119315070541	0.43189344060498913	0.5353113130197875	0.40210064838802817	0.5197438059490216	0.42857431703772464	0.5276979754728668	0.544839509228414	0.43861776821227616
1	0.2013890115973358	0.19253553692695213	0.1953739076263974	0.29095882008761687	0.1930175799920626	0.19465316637912655	0.22270587584963752	0.18950141900439543	0.19417353547404947	0.2420374956358552	0.19448063254753867	0.197700930620476	0.19793707978108777	0.24366321783876177	0.20146473632037998	0.32906965524942855	0.30844245122939185	0.297641365094898	0.18486809764106615	0.2224582548369971	0.21205612444456368	0.21621910112317988	0.19638814518553172	0.19803019893861262	0.2478174974409979
2	0.3414316933375472	0.36667719887412664	0.36808732235637087	0.2821900961368994	0.3573913019247309	0.3545288033084484	0.3294164054510471	0.3495103850397987	0.3498405542321765	0.292781907726397	0.39558372840787526	0.3966326470297773	0.38510171124244996	0.28098723528250624	0.31439903537607516	0.2768333714711534	0.2899880414146542	0.29547810778615713	0.35254166097131856	0.2797270409733984	0.3424371241445803	0.29017684015835465	0.368548502114023	0.3804203432512092	0.2828915781765088
3	0.327382487903521	0.31817883136806246	0.30843642809908334	0.3156792359257483	0.30479828429182354	0.33019207126991923	0.3326725602750412	0.3326777830408333	0.334744799006932	0.3552767378630852	0.2782439945068015	0.27319171406632303	0.2825744462837052	0.3879037354266621	0.4450714837586206	0.28797424431258156	0.30763129883059337	0.3151950333873432	0.3363836851160883	0.27880774062703695	0.34515236336275057	0.46960838860548293	0.26648633501655683	0.28529262338801153	0.38559241755582363
4	0.20640635437324573	0.1905572732104336	0.19186035555938585	0.2617501716925271	0.19136219251602227	0.1919115876949279	0.21928204887758385	0.19307270348036587	0.19676503321566696	0.22716599138239735	0.19049259075580738	0.19322589968756654	0.19101547196766866	0.22377721848749987	0.20496264707639145	0.28118145623144186	0.27562231198832754	0.27651185374054454	0.1856731129808199	0.2132199938111864	0.20483181836478936	0.20820579789475135	0.20082657937347748	0.19124734130681365	0.22872202898277927
5	0.2750623138868835	0.23441484487224695	0.24404484091065204	0.3188752454450976	0.2521092834137574	0.23403954193318077	0.27899587851782615	0.256834296295145	0.2622628751776428	0.26046470435360236	0.25700452715121946	0.25908003408993163	0.23876573289836456	0.2919779817581194	0.23803383180980398	0.2588840638694305	0.27208213614970445	0.26606877029058096	0.24615502742920947	0.46460751282134094	0.2250381120716577	0.23787208419632633	0.27458352651899176	0.23580468894323825	0.2851921487118929
6	0.1992930510712877	0.1956719538675329	0.1937551934207855	0.23157893143967379	0.1945036442443575	0.1972372911887884	0.20484097147613045	0.19521938951950824	0.19607310030210456	0.21346696862551418	0.19335133335158938	0.19497569542750537	0.19577572658434061	0.21583245667445228	0.19964664385798814	0.24720160348947928	0.23944744711205013	0.23383512637199488	0.19412283736434588	0.19965381515224012	0.2040144162629347	0.20423093921433866	0.19678533006723253	0.19631833636499552	0.2175989594528176
7	0.16905106336419595	0.16796888108087937	0.16828321491770448	0.16977117756494442	0.16853428861518793	0.16817459192605244	0.1700073836387016	0.1686049151063329	0.168489643021149	0.16962142974614447	0.16856285202829968	0.16861294450718567	0.16840811348092088	0.1693982280635552	0.168544899647445	0.1687885306221566	0.16967625492124672	0.16972984192861784	0.1679907501381105	0.170533449254339	0.16861832616544958	0.16902309556500028	0.1692087184809744	0.1682756559760975	0.16935362051759284
8	0.17827405411350528	0.17300200299196444	0.17359309201821416	0.19145663374779853	0.17440747297355996	0.17354091247675274	0.17924222987896554	0.1746369822440783	0.17529131886330251	0.18121794442159445	0.17437805727129818	0.17534954939820846	0.1738502082949035	0.18396211667421924	0.17517879309960516	0.19625073258117132	0.19260475241046338	0.19027593218284367	0.17370868210489498	0.1932643519795898	0.17554873812089056	0.17770703834752344	0.17691914659766994	0.17376357314052893	0.1841333774171655
