group	n_cells	n_cells_scored	ATF3_extended_-/-_(10g)	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/-_(37g)	BCL11B_extended_-/-_(121g)	ETS1_extended_+/+_(305g)	IRF8_extended_-/-_(121g)	KLF3_extended_-/+_(14g)	KLF4_extended_-/+_(137g)	KLF4_extended_-/-_(61g)	KLF6_extended_+/+_(337g)	KLF6_extended_-/+_(80g)	KLF6_extended_-/-_(67g)	LEF1_extended_+/+_(133g)	LEF1_extended_-/-_(60g)	RUNX3_extended_+/+_(160g)	RXRA_extended_+/-_(34g)	SPI1_extended_+/+_(699g)	SPI1_extended_+/-_(212g)	SPI1_extended_-/-_(57g)	SPIB_extended_+/+_(222g)	SPIB_extended_-/-_(37g)	TBX21_extended_+/+_(196g)	TBX21_extended_-/-_(12g)	TCF7_extended_+/+_(123g)	TCF7_extended_-/-_(52g)
B cells	267	161	0.5582074952039052	0.14288554764429628	0.15405051184867696	0.15616529522139266	0.13433538317535254	0.18492443904018763	0.22150902642668552	0.266249842810655	0.31179854876291735	0.10162128208601047	0.14468529783273498	0.13948478021312885	0.1375150295249206	0.19880604149650816	0.0714086866298174	0.056094196753292414	0.0768948925432659	0.07384478446871666	0.2366534105507086	0.19036534682725345	0.17983956376457372	0.06263274299405779	0.35006189019950484	0.12855251907126167	0.17652678726671542
FCGR3A+ monocytes	301	49	0.4759595581351807	0.11776021663979974	0.11500739646218018	0.25130700547714724	0.0869381411761576	0.1637221648838472	0.25513213148955516	0.1753920345342985	0.22336385298592287	0.17235216031257736	0.08347122105723018	0.08873275450122535	0.10705287840458659	0.21759683995922524	0.098692407008675	0.19163399304675996	0.22612136952272732	0.23781593734949402	0.12287216512228581	0.05266029463277165	0.3023238554038029	0.0931968649657953	0.2505811957810647	0.10643998033314911	0.22918316938631483
NK cells	333	270	0.5284794427454977	0.22806727207180325	0.19192946769399366	0.08312632393811151	0.14325431838817307	0.326279639130626	0.2104895797938611	0.3370122969014685	0.37216967556617625	0.13877532329560022	0.10979980745271262	0.09602268981291297	0.14346637916571922	0.23388874731000112	0.237542385179522	0.040440510216998744	0.05770140133527318	0.06450603927451769	0.3616312272356051	0.030016101728639905	0.405313111276414	0.22829834023313705	0.1876144429342696	0.14548135440579685	0.21943083108985245
Plasmacytoid dendritic cells	23	1	0.5357033639143731	0.0712920489296636	0.1096371600958757	0.1418416862536962	0.1147566050032586	0.1337351833598706	0.3431083442551332	0.2282193798968727	0.220308818368677	0.1620908538190001	0.1183103975535168	0.1151467433474827	0.1251063438412545	0.1941513761467889	0.0757071865443425	0.0448596869940636	0.1020089861882199	0.1089593791471928	0.1018160845538923	0.1029906052841832	0.2519009835523597	0.0977852150034325	0.3772935779816513	0.1040252604360906	0.1791931310279934
T cells	396	280	0.5688480231542158	0.31703519416829157	0.29239776309730436	0.05727312894222814	0.21068292582486442	0.3776278211641014	0.19811403919365908	0.3688675289308116	0.4020561631179769	0.0786922084462783	0.2697708811162079	0.2515417261660244	0.31650579594464534	0.09484946119120427	0.09851214367627781	0.03416387197080663	0.046606804578218475	0.05154875759374197	0.39262582105109867	0.02925229456192754	0.38308892116231563	0.06678877071798571	0.43872460681520314	0.3021444021779667	0.09206321201734041
unknown	1584	797	0.529708022055184	0.2687014365611177	0.2422892255579051	0.08709369895238918	0.19425398573471891	0.3483144578963135	0.1935675257751737	0.3387412752284335	0.3589163730561018	0.11909464448614761	0.1834001454230121	0.16940737187521346	0.24331551658375383	0.13866096997276992	0.09234744972546126	0.05889995944045428	0.07219998178541376	0.07349552484154737	0.3574445367348438	0.03352183811590067	0.37818784965481866	0.07645206592530761	0.3614142355955117	0.2416866776555141	0.13235054738024588
