group	ATF3_extended_-/-_(10g)	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/-_(37g)	BCL11B_extended_-/-_(121g)	ETS1_extended_+/+_(305g)	IRF8_extended_-/-_(121g)	KLF3_extended_-/+_(14g)	KLF4_extended_-/+_(137g)	KLF4_extended_-/-_(61g)	KLF6_extended_+/+_(337g)	KLF6_extended_-/+_(80g)	KLF6_extended_-/-_(67g)	LEF1_extended_+/+_(133g)	LEF1_extended_-/-_(60g)	RUNX3_extended_+/+_(160g)	RXRA_extended_+/-_(34g)	SPI1_extended_+/+_(699g)	SPI1_extended_+/-_(212g)	SPI1_extended_-/-_(57g)	SPIB_extended_+/+_(222g)	SPIB_extended_-/-_(37g)	TBX21_extended_+/+_(196g)	TBX21_extended_-/-_(12g)	TCF7_extended_+/+_(123g)	TCF7_extended_-/-_(52g)
B cells	0.27979767713916637	0.2369290535286247	0.24672780554552354	0.3293899485781545	0.25515200166868957	0.23686111750228123	0.2841183530537935	0.2599240269296751	0.26563521686214486	0.26691121078265934	0.2599306300385532	0.2625071180152462	0.24169480925705034	0.29933875732502224	0.241677402366552	0.27165689262781634	0.2834583674999337	0.2765111533441229	0.24889048696054572	0.4741526633988916	0.2290327456184459	0.24283722439775046	0.2786029743100492	0.23872488518776092	0.2927168272375522
FCGR3A+ monocytes	0.20640635437324573	0.1905572732104336	0.19186035555938585	0.2617501716925271	0.19136219251602227	0.1919115876949279	0.21928204887758385	0.19307270348036587	0.19676503321566696	0.22716599138239735	0.19049259075580738	0.19322589968756654	0.19101547196766866	0.22377721848749987	0.20496264707639145	0.28118145623144186	0.27562231198832754	0.27651185374054454	0.1856731129808199	0.2132199938111864	0.20483181836478936	0.20820579789475135	0.20082657937347748	0.19124734130681365	0.22872202898277927
NK cells	0.327382487903521	0.31817883136806246	0.30843642809908334	0.3156792359257483	0.30479828429182354	0.33019207126991923	0.3326725602750412	0.3326777830408333	0.334744799006932	0.3552767378630852	0.2782439945068015	0.27319171406632303	0.2825744462837052	0.3879037354266621	0.4450714837586206	0.28797424431258156	0.30763129883059337	0.3151950333873432	0.3363836851160883	0.27880774062703695	0.34515236336275057	0.46960838860548293	0.26648633501655683	0.28529262338801153	0.38559241755582363
Plasmacytoid dendritic cells	0.16905106336419595	0.16796888108087937	0.16828321491770448	0.16977117756494442	0.16853428861518793	0.16817459192605244	0.1700073836387016	0.1686049151063329	0.168489643021149	0.16962142974614447	0.16856285202829968	0.16861294450718567	0.16840811348092088	0.1693982280635552	0.168544899647445	0.1687885306221566	0.16967625492124672	0.16972984192861784	0.1679907501381105	0.170533449254339	0.16861832616544958	0.16902309556500028	0.1692087184809744	0.1682756559760975	0.16935362051759284
T cells	0.3414316933375472	0.36667719887412664	0.36808732235637087	0.2821900961368994	0.3573913019247309	0.3545288033084484	0.3294164054510471	0.3495103850397987	0.3498405542321765	0.292781907726397	0.39558372840787526	0.3966326470297773	0.38510171124244996	0.28098723528250624	0.31439903537607516	0.2768333714711534	0.2899880414146542	0.29547810778615713	0.35254166097131856	0.2797270409733984	0.3424371241445803	0.29017684015835465	0.368548502114023	0.3804203432512092	0.2828915781765088
unknown	0.5299282174756397	0.5528788040805859	0.5481343116847506	0.4934796123794615	0.559665703862334	0.5542961338513215	0.5177030489460175	0.5403856387548451	0.5346577862281912	0.5436304594668948	0.5348858249537527	0.5331359160592386	0.5585700795417465	0.49598813381553886	0.4736128859818065	0.48902571106040704	0.5158108076203414	0.5146772383502448	0.5416104137332223	0.44032592346705424	0.552655996288612	0.46520287374652114	0.5443143079368127	0.5625895071174583	0.49605211845370867
