group	n_cells	n_cells_scored	ATF3_extended_-/-_(10g)	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/-_(37g)	BCL11B_extended_-/-_(121g)	ETS1_extended_+/+_(305g)	IRF8_extended_-/-_(121g)	KLF3_extended_-/+_(14g)	KLF4_extended_-/+_(137g)	KLF4_extended_-/-_(61g)	KLF6_extended_+/+_(337g)	KLF6_extended_-/+_(80g)	KLF6_extended_-/-_(67g)	LEF1_extended_+/+_(133g)	LEF1_extended_-/-_(60g)	RUNX3_extended_+/+_(160g)	RXRA_extended_+/-_(34g)	SPI1_extended_+/+_(699g)	SPI1_extended_+/-_(212g)	SPI1_extended_-/-_(57g)	SPIB_extended_+/+_(222g)	SPIB_extended_-/-_(37g)	TBX21_extended_+/+_(196g)	TBX21_extended_-/-_(12g)	TCF7_extended_+/+_(123g)	TCF7_extended_-/-_(52g)
0	873	690	0.5568505961086735	0.29058645278315565	0.2614147953298332	0.06441436887642053	0.21061885373050174	0.37454170563011263	0.19164110332339288	0.3673304285712899	0.3850913616736526	0.11250869145686501	0.19786949319682662	0.18121913699683997	0.26123966511145563	0.12474800189100145	0.09468316491601289	0.03800166722718867	0.051201476114851666	0.05471462922684403	0.39126638394950275	0.031566628455340015	0.3893716812145212	0.07416413181414032	0.3870615055622036	0.25945318780404925	0.1172299612367422
1	589	71	0.2794084076323384	0.08906360141906106	0.09285658574972436	0.24587871454979018	0.0644342366425958	0.12717054723010388	0.19299205016028892	0.10014748191373735	0.13744680445433916	0.15781414774730831	0.06938557953223926	0.07432230885885852	0.10015752004381022	0.22018079424559586	0.05995229788517031	0.20836595395361915	0.22047278882704155	0.20662158137214026	0.07828579934999227	0.045749813646182635	0.25863940565452387	0.0802585829524987	0.14780746148655435	0.09876523755546376	0.22344908074653516
2	396	280	0.5688480231542158	0.31703519416829157	0.29239776309730436	0.05727312894222814	0.21068292582486442	0.3776278211641014	0.19811403919365908	0.3688675289308116	0.4020561631179769	0.0786922084462783	0.2697708811162079	0.2515417261660244	0.31650579594464534	0.09484946119120427	0.09851214367627781	0.03416387197080663	0.046606804578218475	0.05154875759374197	0.39262582105109867	0.02925229456192754	0.38308892116231563	0.06678877071798571	0.43872460681520314	0.3021444021779667	0.09206321201734041
3	333	270	0.5284794427454977	0.22806727207180325	0.19192946769399366	0.08312632393811151	0.14325431838817307	0.326279639130626	0.2104895797938611	0.3370122969014685	0.37216967556617625	0.13877532329560022	0.10979980745271262	0.09602268981291297	0.14346637916571922	0.23388874731000112	0.237542385179522	0.040440510216998744	0.05770140133527318	0.06450603927451769	0.3616312272356051	0.030016101728639905	0.405313111276414	0.22829834023313705	0.1876144429342696	0.14548135440579685	0.21943083108985245
4	301	49	0.4759595581351807	0.11776021663979974	0.11500739646218018	0.25130700547714724	0.0869381411761576	0.1637221648838472	0.25513213148955516	0.1753920345342985	0.22336385298592287	0.17235216031257736	0.08347122105723018	0.08873275450122535	0.10705287840458659	0.21759683995922524	0.098692407008675	0.19163399304675996	0.22612136952272732	0.23781593734949402	0.12287216512228581	0.05266029463277165	0.3023238554038029	0.0931968649657953	0.2505811957810647	0.10643998033314911	0.22918316938631483
5	246	152	0.5589535047481088	0.14442527200048674	0.15607422971015436	0.15087670247534826	0.1359352613372806	0.18589803704043636	0.22105507461313834	0.2697670574766119	0.31555917589506927	0.0984760345040861	0.14688644274102686	0.14087945412964148	0.13843385171039618	0.19511717702129938	0.07091192358763877	0.048670038391986394	0.06984453112641424	0.06749143609413004	0.2398138206251182	0.19327373003133502	0.17507278222210618	0.06070141872538484	0.35331034725575405	0.12917324217906587	0.17214747845708125
6	122	36	0.5031218144750255	0.20352435605778074	0.1704301778843063	0.2086215224246917	0.13662740985834682	0.2817704779235221	0.23162558856366194	0.261342484083226	0.29401629596207723	0.16896194611566343	0.13093304026503563	0.13054408132629408	0.18210871853435828	0.24455098255748098	0.11147001359157319	0.16467040434930338	0.18224441547242137	0.17090852374358084	0.2597555305184469	0.046880404869701464	0.39960717598332274	0.11279683891905383	0.29112158794880505	0.18303474000591174	0.24249522988055094
7	23	1	0.5357033639143731	0.0712920489296636	0.1096371600958757	0.1418416862536962	0.1147566050032586	0.1337351833598706	0.3431083442551332	0.2282193798968727	0.220308818368677	0.1620908538190001	0.1183103975535168	0.1151467433474827	0.1251063438412545	0.1941513761467889	0.0757071865443425	0.0448596869940636	0.1020089861882199	0.1089593791471928	0.1018160845538923	0.1029906052841832	0.2519009835523597	0.0977852150034325	0.3772935779816513	0.1040252604360906	0.1791931310279934
8	21	9	0.5456082229018009	0.11688131407307953	0.11987216574372533	0.24548375048792057	0.10731521866278969	0.1684814505915423	0.22917576816659382	0.20684799511893862	0.2482857349754627	0.15474101902517765	0.10751040604825005	0.11593028740091588	0.12199714372577716	0.2611068637444784	0.07979846245327891	0.1814799824109052	0.19596766313898253	0.18114577923951297	0.18327759596067977	0.14124598604720925	0.26034520759291396	0.09525066397608987	0.2951990599161853	0.11806919547279057	0.25048844716275903
