group	ATF3_direct_-/-_(13g)	BACH1_direct_-/+_(33g)	BACH1_direct_-/-_(16g)	BACH2_direct_+/-_(57g)	BACH2_direct_-/+_(338g)	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/-_(119g)	BCL11A_direct_-/+_(57g)	BCL11A_direct_-/-_(49g)	CREB1_direct_-/+_(11g)	CREB1_direct_-/-_(10g)	CREB5_direct_+/+_(287g)	CREB5_direct_+/-_(274g)	CREB5_direct_-/+_(40g)	CREB5_direct_-/-_(38g)	ELF2_direct_-/-_(23g)	FOXO1_direct_-/+_(203g)	FOXO1_direct_-/-_(153g)	IRF8_direct_-/-_(123g)	KLF3_direct_-/+_(13g)	KLF4_direct_+/+_(412g)	KLF6_direct_+/+_(90g)	KLF6_direct_-/-_(16g)	LEF1_direct_+/+_(188g)	LEF1_direct_+/-_(142g)	LEF1_direct_-/+_(192g)	LEF1_direct_-/-_(165g)	POU2AF1_direct_+/+_(73g)	RUNX3_direct_+/+_(208g)	RXRA_direct_+/+_(616g)	RXRA_direct_-/+_(18g)	SPI1_direct_+/+_(721g)	SPI1_direct_+/-_(359g)	SPI1_direct_-/-_(62g)	SPIB_direct_+/+_(241g)	SPIB_direct_+/-_(38g)	SPIB_direct_-/-_(40g)	TBX21_direct_+/+_(228g)	TBX21_direct_-/+_(26g)	TCF7L2_direct_+/+_(451g)	TCF7_direct_+/+_(141g)	TCF7_direct_-/-_(55g)	ZEB1_direct_-/+_(10g)	ZNF207_direct_-/+_(18g)	ZNF610_direct_+/+_(10g)
0	0.5092575006624956	0.512339318456825	0.508400578369067	0.5231690151482429	0.47000896268395476	0.4181724991876554	0.4320989946419199	0.5256547625994319	0.5217860081774588	0.4561324938404261	0.46698832164539805	0.4303598340493535	0.44752379148196075	0.518867474954409	0.5220791578848059	0.5019544233424569	0.47460142582388065	0.4753035761993175	0.5392469876941964	0.47758132837022305	0.4288009491353142	0.4936489713102461	0.5188633839258423	0.539820034738015	0.5416330658840127	0.42925751915796495	0.450195162760878	0.39640853124623265	0.45484793553552016	0.43342483100205076	0.5215069339881737	0.4289275184745234	0.4379701259904739	0.5343508975829097	0.4016641663284868	0.3611263923850597	0.5188149986161665	0.428116355028364	0.5453359706256543	0.4296531200347271	0.5465293823013024	0.4383714991792954	0.41747239818188897	0.5202427767032286	0.33019939760121386
1	0.20102393463449575	0.18659129465902313	0.1928533234562656	0.19668029173213597	0.24538166087691837	0.23201746845034832	0.23191665081805724	0.21380303011509416	0.20370792653050263	0.20811661503943357	0.22113578345976725	0.32221646309284324	0.2980012120086526	0.1941258627790614	0.19010615875330328	0.20016469483	0.22130242991399307	0.22334474885135125	0.19550436151154382	0.22243137090127463	0.3062181721844087	0.23703224391012012	0.2084219108363552	0.197064548990169	0.19553367936501354	0.2630696796719504	0.24128639481435565	0.21213949480509375	0.2009266664280439	0.3064895165725606	0.18903411523365365	0.30784326915973503	0.29670613480841357	0.18451137722027555	0.22104227075641703	0.20862298342454255	0.21354455664163863	0.21764462066987855	0.19823307669051737	0.29989040246988485	0.19735821904774642	0.2484714685233902	0.2659242987685404	0.19318630261920555	0.18879296507230825
2	0.33965283527972845	0.33869082988013177	0.34121004291804513	0.36835325612210834	0.2918532788802828	0.2905901826554269	0.3020121003637105	0.3389294958217862	0.3478021768227876	0.32277546010038627	0.3212817781992596	0.28839854630828576	0.30407571585587934	0.34668700234021865	0.3471197433637482	0.34007110884438096	0.3041920316978669	0.3064978158497428	0.3551812534324291	0.32927186567323996	0.28810075745925057	0.2913441195456953	0.3837498859963938	0.382018633412761	0.3631260280198304	0.273499336844814	0.28421480299171975	0.2709348604903692	0.31633875713464665	0.2948078644574007	0.3614941031216933	0.29032638325106963	0.29482814311854744	0.35301440389435845	0.2818569506775841	0.28709646607721406	0.34257328853678404	0.2862825151364823	0.3804164967818787	0.29330440740620434	0.3801931444119948	0.2830482774232915	0.26377402879984235	0.33360632967684756	0.2687379803896832
3	0.32737611707432357	0.3599781841185239	0.3408752530909457	0.2712126399169039	0.3857068228240528	0.2841280301374838	0.29538191185187634	0.3469985739799306	0.35025651843714123	0.3297348009710873	0.33654043356895413	0.3064601987820087	0.31155517503866603	0.3295867314693558	0.3273677872749847	0.3379380026888742	0.3949321841768081	0.3853910645893017	0.32830811023674356	0.3337851973488256	0.3120862357347127	0.35315106263359575	0.2590378608117808	0.28613346188841915	0.3002144428632375	0.35555967304473945	0.3920251407256824	0.27221722319170205	0.4384971101956928	0.30626318944148634	0.31024733323900966	0.3081978179109299	0.31276146128383997	0.3372862616927139	0.2788605645788863	0.27238852480326914	0.34420969047661254	0.47039440346170147	0.25746363185247667	0.3126195772722028	0.2858416436918032	0.38819798417612006	0.36895863473723733	0.33562865353412363	0.25009972028332894
4	0.20655668743070665	0.19080211087743615	0.19879524304041452	0.19129995149197865	0.22848879360103413	0.2212052730274583	0.22013058929003104	0.2031503159135174	0.1985902835671688	0.20760397467450198	0.20838877026144664	0.2655220803748778	0.25160448622978204	0.19769508413310843	0.19491252025962413	0.2099299884858773	0.2194836218333459	0.22192984853827258	0.19192897931939334	0.21922031386000174	0.2663907154189352	0.2272668276624208	0.19494769254113753	0.19181484902710633	0.1944229404152692	0.24488717994545417	0.2274658006317939	0.2044339422925453	0.2041139219733803	0.27309041718746374	0.19125886614849996	0.27475138851531	0.27129773438064164	0.1852139044913057	0.21186007456648237	0.20157308796965656	0.20556871427412737	0.21140567654679732	0.19537773539983372	0.2805424873850827	0.1910088838006626	0.22942313937246384	0.23679462896383274	0.19936232400866238	0.17960058086469355
5	0.27322277754281676	0.2572446107541242	0.26900341101554104	0.2945999653829672	0.248002684180627	0.4266543922688748	0.3930911316749902	0.21736546549719749	0.2261398641572332	0.2559370513200657	0.2629275904246332	0.25792892473807394	0.26665171059351733	0.2676340633776352	0.2685735125263714	0.2666987386994606	0.24817014962947237	0.25205977166899607	0.23357494040542692	0.2784515073826097	0.27816949854703565	0.2524200338304444	0.2605615549093476	0.2427422346242214	0.25134057417558964	0.31463008269790205	0.2772000513069046	0.4806734553021764	0.23840822303545017	0.2677031106641673	0.2690544939325322	0.27143799963878645	0.2693326332376167	0.246729602181036	0.46563742099644323	0.48658867991224053	0.225770567079856	0.23658616092010265	0.2547311269947853	0.26732813727548277	0.2341608158434879	0.2821227424209305	0.2715016729844538	0.25425614736287117	0.22812561883755245
6	0.19989823632062054	0.1925804354691848	0.19691890186916094	0.19678375062654074	0.2141132758095895	0.20748772333013188	0.20813758807390348	0.20472078211874378	0.19990221358479	0.1998153304974074	0.20592738232173835	0.24416263281902717	0.23088305510917984	0.19689164817879767	0.196431575488337	0.19973931201480233	0.20688333768525258	0.20836621804366218	0.19703210055453768	0.2053243188974071	0.23930641856779244	0.21330029657360228	0.19723328827133868	0.19590989182367924	0.19618766258611353	0.22442475670861717	0.2153089163945846	0.1982556545146421	0.1991651366819267	0.23729963608031923	0.194032700495667	0.23928279954097964	0.23430721369168095	0.19372218618421333	0.19882656480945582	0.18865827438380467	0.20437585841737516	0.20447911496377413	0.19798763838435285	0.23580585190244796	0.19605905364591536	0.21792712092451716	0.22792427666383552	0.1930249503204019	0.17661424503564171
7	0.16904827022282598	0.16827213987398082	0.16922349169314266	0.16908890962857226	0.16941762851503062	0.17045632188529658	0.1693784019435669	0.16821469043057014	0.168364175311151	0.16994843605477206	0.16995378144412365	0.16974963679682364	0.16950757744887068	0.1688078274734338	0.16882885582114426	0.16910311889254914	0.16946544875652725	0.16973605138549663	0.16815798667326765	0.1700451965184897	0.16979662377328908	0.1696204412625365	0.1689141392800706	0.16840034677249482	0.16845161724108582	0.16989236275858388	0.16937579254505397	0.17002340849513187	0.16856735164340464	0.16971291667635446	0.16902821908359222	0.16964667941033973	0.16951590141531614	0.16799783625162767	0.17045386630424397	0.1693237607456819	0.16863383248484953	0.16904920064158813	0.16847742176621439	0.1696086266698943	0.1682274974730319	0.16933962045939877	0.17033241684067135	0.16898313939393206	0.1682751793072491
8	0.17770187597410514	0.1734554527252462	0.17587674131874165	0.1790235307019572	0.18137465147088316	0.1922762185762249	0.18892825246504885	0.17550798647367294	0.1738118091318579	0.17522598703492565	0.17789883723576871	0.19275233390256252	0.18871125821158663	0.17623829840355998	0.17568942603544857	0.17661570125377912	0.17818155484233045	0.17854823735323766	0.17366326080198713	0.17937759433298472	0.19282297356950484	0.18027649292208536	0.1752518564858564	0.17433343220715303	0.17449722255751365	0.1889595807681682	0.18274820226209298	0.19604464948961264	0.17482712619329432	0.19138951452972242	0.1756940113976473	0.19247465769167038	0.19025659983227317	0.1738010899991268	0.19334454557903302	0.19043183847497192	0.17586436524770688	0.1779818563217639	0.17563580827263836	0.19180560311210637	0.1736262805647698	0.18387756631787966	0.18422862524720773	0.1737184702615049	0.16941362085284495
