group	ATF3_extended_-/-_(12r)	BCL11B_extended_+/+_(215r)	BCL11B_extended_+/-_(35r)	BCL11B_extended_-/-_(135r)	ETS1_extended_+/+_(738r)	IRF8_extended_-/-_(210r)	KLF3_extended_-/+_(22r)	KLF4_extended_-/+_(311r)	KLF4_extended_-/-_(83r)	KLF6_extended_+/+_(561r)	KLF6_extended_-/+_(141r)	KLF6_extended_-/-_(97r)	LEF1_extended_+/+_(187r)	LEF1_extended_-/-_(67r)	RUNX3_extended_+/+_(227r)	RXRA_extended_+/-_(30r)	SPI1_extended_+/+_(2197r)	SPI1_extended_+/-_(254r)	SPI1_extended_-/-_(139r)	SPIB_extended_+/+_(491r)	SPIB_extended_-/-_(72r)	TBX21_extended_+/+_(337r)	TBX21_extended_-/-_(13r)	TCF7_extended_+/+_(167r)	TCF7_extended_-/-_(55r)
0	0.5016841982674471	0.5187603167027899	0.34373660475197343	0.4896163110075249	0.5294243430125113	0.411011843665536	0.48163490090887995	0.5157699841329092	0.4715069230472929	0.46873905121403237	0.5251853853538326	0.5006252031906329	0.4845225749111589	0.4786184971813269	0.4241037935894778	0.5359438088320718	0.33369439983784843	0.5080286224822705	0.3984959412449013	0.30298964740887036	0.4670121469266192	0.3330540003203456	0.17956440648059335	0.4934399090106669	0.4799277386727816
1	0.2571077915055019	0.18770801780110247	0.28397983263550675	0.20589523734992943	0.20308307157009764	0.3137374484884927	0.2516203352829549	0.2074070245132681	0.2570044294189956	0.2601951664298452	0.20483134243952827	0.22811157538879112	0.1674453888423023	0.1675115042137172	0.20898941917186398	0.1989402490716955	0.405045821435028	0.21606106061129549	0.3180954544027662	0.2932368532401066	0.2576440426307459	0.19627656124912707	0.20836159129695286	0.1674453888423023	0.1674453888423023
2	0.3281509349130898	0.37797963782996236	0.2908024228544547	0.3241646987423741	0.35389780109906266	0.2862476976599855	0.2922679731897868	0.34341795984879664	0.31300963458504527	0.30007117805067296	0.3732136068765495	0.32669695699820667	0.4906642474685361	0.46949341506327735	0.3066544198192289	0.35182565761916174	0.23396718482075374	0.3425221256171017	0.2843884074830596	0.22091778358979142	0.3017004353962047	0.2494744678639701	0.17453911545467993	0.48693362455992184	0.46513397909963305
3	0.3080353867482236	0.3493604216445605	0.3702372589728986	0.3935572283221387	0.313654003920807	0.2785002847625433	0.35405033219653703	0.33202543512034255	0.3129358411771095	0.35018142063806335	0.29550971425952854	0.33799861454844016	0.18359619335089794	0.2756105060176217	0.47074530372929146	0.31456133598870084	0.2905586363624896	0.32431930184658275	0.28864688447915043	0.2542911227587069	0.30664415076138163	0.5962263101125183	0.6043579627277635	0.21218010736865256	0.26670503034068804
4	0.22298166736822944	0.18376122437211362	0.2619115906609705	0.19684876655092998	0.19759716817679296	0.2626377465857579	0.2272253354790026	0.199257886776524	0.23261070697427866	0.23326520939508621	0.19831705516732634	0.21265059017224175	0.1692555684050282	0.17315624676396557	0.20160016969219074	0.19511129375893532	0.31974024133887424	0.20624005370601983	0.264667171545915	0.2544180592772729	0.23351247310434498	0.18837211713244062	0.22398567948422843	0.1695322140573574	0.17074420146444447
5	0.2603749878945062	0.21108105024059165	0.3154242408020448	0.2513007729803256	0.2612335661568169	0.3431262779437595	0.2752202720244382	0.2683329707545957	0.3034069292844077	0.2708686820593831	0.2570027597620249	0.27159204951595184	0.18749261393999184	0.17422801170626234	0.23593173943941792	0.25386125191898645	0.28767854394677717	0.2747745997741201	0.3423956120744084	0.5067034368896037	0.3225738815710609	0.21259795560380268	0.318786546970215	0.17356926652787585	0.1738614246866642
6	0.21054894100400445	0.18825284996650093	0.21390078634824783	0.1969813821109132	0.19679095058930185	0.21869935189897194	0.20577297314045284	0.19769818994037602	0.21019241435292124	0.21542673631941345	0.19580926598698756	0.20288001409735068	0.17691556048441592	0.18413803424645403	0.19740078819695583	0.19810310754510774	0.2363609721976423	0.20090695947031356	0.2186983302213219	0.20727062470050095	0.21219581002570975	0.1933079246229088	0.20121385075921627	0.17732046453906103	0.18284878967441598
7	0.16861389595949916	0.16801587224675607	0.1743459771644421	0.1685354145997754	0.16865733730229526	0.17065569599632402	0.1692626202075841	0.1687335327775814	0.16958960410870005	0.16933420112008646	0.16849217874107203	0.16896458414670246	0.1675022407051664	0.1674453888423023	0.1682246608946225	0.16886531495292556	0.17052690628998346	0.16892867103649223	0.17010774505891713	0.1719633464830026	0.1697001500137173	0.16814119181088483	0.17412924404979546	0.1674453888423022	0.1674453888423022
8	0.18139056003000809	0.17097161490879564	0.18544926664934713	0.17544591399358234	0.17573742160818073	0.1927637716781203	0.17889758023473668	0.17657041367450454	0.1844834932156536	0.18188183636200317	0.17479970285888324	0.1787232590935841	0.16757007795350198	0.1674453888423023	0.17451104025386266	0.1747126338141919	0.19403540289646237	0.1783120272878228	0.19373300335085608	0.20634887437395533	0.1867303376343452	0.17176378001928772	0.1746990273336363	0.16747463412345054	0.1674453888423022
