group	n_cells	n_cells_scored	ATF3_direct_-/-_(13g)	BACH1_direct_-/+_(33g)	BACH1_direct_-/-_(16g)	BACH2_direct_+/-_(57g)	BACH2_direct_-/+_(338g)	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/-_(119g)	BCL11A_direct_-/+_(57g)	BCL11A_direct_-/-_(49g)	CREB1_direct_-/+_(11g)	CREB1_direct_-/-_(10g)	CREB5_direct_+/+_(287g)	CREB5_direct_+/-_(274g)	CREB5_direct_-/+_(40g)	CREB5_direct_-/-_(38g)	ELF2_direct_-/-_(23g)	FOXO1_direct_-/+_(203g)	FOXO1_direct_-/-_(153g)	IRF8_direct_-/-_(123g)	KLF3_direct_-/+_(13g)	KLF4_direct_+/+_(412g)	KLF6_direct_+/+_(90g)	KLF6_direct_-/-_(16g)	LEF1_direct_+/+_(188g)	LEF1_direct_+/-_(142g)	LEF1_direct_-/+_(192g)	LEF1_direct_-/-_(165g)	POU2AF1_direct_+/+_(73g)	RUNX3_direct_+/+_(208g)	RXRA_direct_+/+_(616g)	RXRA_direct_-/+_(18g)	SPI1_direct_+/+_(721g)	SPI1_direct_+/-_(359g)	SPI1_direct_-/-_(62g)	SPIB_direct_+/+_(241g)	SPIB_direct_+/-_(38g)	SPIB_direct_-/-_(40g)	TBX21_direct_+/+_(228g)	TBX21_direct_-/+_(26g)	TCF7L2_direct_+/+_(451g)	TCF7_direct_+/+_(141g)	TCF7_direct_-/-_(55g)	ZEB1_direct_-/+_(10g)	ZNF207_direct_-/+_(18g)	ZNF610_direct_+/+_(10g)
B cells	267	161	0.47683409530238413	0.18208266493069042	0.34931893080327464	0.2790104166145986	0.09272928446166452	0.24357922492346104	0.23080907672203302	0.14126652557467323	0.1574958435137688	0.07946278558564156	0.13249472904438997	0.06450099667835647	0.07210328979448434	0.3833668110243698	0.349417745600539	0.27065438304837547	0.11104836553825685	0.12627947070331919	0.1754226763590788	0.23354132239253894	0.0943541509570705	0.11706750199969183	0.16254932617243142	0.1441198938817309	0.1761934457429325	0.21989184252347393	0.1576116167659845	0.250870426471893	0.06729940507239067	0.0662730008419221	0.30374765471494625	0.07720683124171937	0.0764983659230742	0.22992824392775496	0.18582787400967862	0.1893100321605769	0.18109436435124504	0.055724693498138335	0.3008134001352988	0.07082690902385996	0.12526829638915793	0.17452665005517018	0.17101876650141506	0.1662189783948858	0.011496856421068614
FCGR3A+ monocytes	301	49	0.4193755130845563	0.10827002471825534	0.2500477828746177	0.10695398391128538	0.19063429345463823	0.09810698257618304	0.10887605369801914	0.25926710616646464	0.2139969075066836	0.08890486970434543	0.13775822255507703	0.19555588754058026	0.1674473077250722	0.2664146851401111	0.21488969803276206	0.2872216297767611	0.1913950512640542	0.21723113302405564	0.15608977237497515	0.2699196827637194	0.23177396236841577	0.22121706990645387	0.10827794420520498	0.10917990561440265	0.1330190623865517	0.28746608066009277	0.21909991130174614	0.050101352593318306	0.09023072002265968	0.19990348695179247	0.15549782604173165	0.22643312755251352	0.2231991720814977	0.11464618401370606	0.049270136315975196	0.03439135190532027	0.306709885789178	0.09270363545385961	0.22324219031296352	0.23350444960424818	0.10533240558895166	0.23757155906566127	0.289488547712663	0.14933047632916568	0.0049959433314610184
NK cells	333	270	0.46305880097929025	0.2822004448151237	0.4005091530750934	0.12360428055073687	0.18229588680659015	0.048464945067391504	0.06236526210892099	0.3737985168493779	0.37295496520048727	0.10144770848134758	0.1570662022879148	0.05603586809859648	0.061285635509390465	0.40827210046437873	0.36210618714642534	0.311538679352135	0.2358723100708759	0.23919897441364132	0.3067429304942047	0.22479177012816154	0.06928176617875553	0.17581178188041927	0.09414712878015626	0.146081382556999	0.18172232511617442	0.16702899063691617	0.22287242111910816	0.03496300330324874	0.21677602274410374	0.051980987426323774	0.2723065403153748	0.05870017385337591	0.0630472477537464	0.35066838936203637	0.02917852757016786	0.027598121620735452	0.39887274889568464	0.20769145936536887	0.18306934316108625	0.05895753612804403	0.1466126698846242	0.22769210967987724	0.21872579001019363	0.22452854230377162	0.011542926718767684
Plasmacytoid dendritic cells	23	1	0.4680075276405551	0.1060374386062459	0.4095470183486238	0.2241134181018295	0.155961040841069	0.1527467333889352	0.1044445301056202	0.1427115188583078	0.1698183860700243	0.1508896302474284	0.2325688073394495	0.1036159149271702	0.0952476617781647	0.3392966360856269	0.3113632705617254	0.3002592740327084	0.1956583962278363	0.2420699166516759	0.1244188359314785	0.3695012938132204	0.1246047474837445	0.2068637444784233	0.1675267584097859	0.1216816318563341	0.1389822113106775	0.2222381498470948	0.178639607079974	0.1027920908214988	0.0729644495412844	0.0947503375829064	0.3116717635066259	0.1016724138662323	0.0974845178162241	0.0994870277202328	0.0971360412146129	0.0524505070014485	0.2535359327217125	0.0901838886206341	0.2291225593977887	0.095987848952718	0.097533997006962	0.181651376146789	0.3085626911314985	0.2001783893985728	0.0060397553516819
T cells	396	280	0.49174858016601136	0.23327136039292	0.3875489774464832	0.2788165463352571	0.08372533870504932	0.05006168831168826	0.06422084889001467	0.33929610915668373	0.3531959638376976	0.09451328488025731	0.13559305373525554	0.045075923634166085	0.05517836813959491	0.44864262505460895	0.4068730455726472	0.30539228256120954	0.11618382088678555	0.12738184468486677	0.362094761265437	0.2097325839298316	0.05264353286295363	0.0999034330857725	0.2651722572629969	0.3045904383127445	0.2902834053249158	0.07599166530144164	0.09078289447555499	0.033396096279406526	0.09427295993379706	0.044727075567508025	0.3893746056016698	0.047327783210906124	0.05109699440584795	0.3794493563184374	0.029096422725319857	0.030606979030144123	0.380185124508519	0.057923394591218064	0.5219630045031421	0.0471547803095688	0.3023902281649207	0.09418573017196866	0.08854521625163823	0.214106869812145	0.015880570117955423
unknown	1584	797	0.4679263599353846	0.2190435719063716	0.35750025660063156	0.2252854590518403	0.12044353451095295	0.05682053460833975	0.06885406885694657	0.35178491719073945	0.33047209191367083	0.08927391046979409	0.138163948138854	0.0747771925410547	0.07549560279047048	0.4119079240193539	0.3736001697173995	0.2827421988820262	0.1405739087598893	0.15205431478154807	0.33381625178355084	0.20459648287051502	0.08295352668033758	0.15523644349286375	0.1989683695356056	0.23707274183484442	0.2550820030362167	0.12423308586160893	0.131419067913721	0.040133403156562886	0.08901132330070977	0.06640954062513403	0.3213081164458462	0.07317891855237908	0.07465741434248334	0.3428360816908727	0.032298213132191986	0.025600740827354102	0.37499422049044767	0.0694348056176378	0.420967521997186	0.06886714929897109	0.24309039316897446	0.13512201196521983	0.15211247069476896	0.21828629361464646	0.012841638560504017
