group	n_cells	n_cells_scored	ATF3_direct_-/-_(13g)	BACH1_direct_-/+_(33g)	BACH1_direct_-/-_(16g)	BACH2_direct_+/-_(57g)	BACH2_direct_-/+_(338g)	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/-_(119g)	BCL11A_direct_-/+_(57g)	BCL11A_direct_-/-_(49g)	CREB1_direct_-/+_(11g)	CREB1_direct_-/-_(10g)	CREB5_direct_+/+_(287g)	CREB5_direct_+/-_(274g)	CREB5_direct_-/+_(40g)	CREB5_direct_-/-_(38g)	ELF2_direct_-/-_(23g)	FOXO1_direct_-/+_(203g)	FOXO1_direct_-/-_(153g)	IRF8_direct_-/-_(123g)	KLF3_direct_-/+_(13g)	KLF4_direct_+/+_(412g)	KLF6_direct_+/+_(90g)	KLF6_direct_-/-_(16g)	LEF1_direct_+/+_(188g)	LEF1_direct_+/-_(142g)	LEF1_direct_-/+_(192g)	LEF1_direct_-/-_(165g)	POU2AF1_direct_+/+_(73g)	RUNX3_direct_+/+_(208g)	RXRA_direct_+/+_(616g)	RXRA_direct_-/+_(18g)	SPI1_direct_+/+_(721g)	SPI1_direct_+/-_(359g)	SPI1_direct_-/-_(62g)	SPIB_direct_+/+_(241g)	SPIB_direct_+/-_(38g)	SPIB_direct_-/-_(40g)	TBX21_direct_+/+_(228g)	TBX21_direct_-/+_(26g)	TCF7L2_direct_+/+_(451g)	TCF7_direct_+/+_(141g)	TCF7_direct_-/-_(55g)	ZEB1_direct_-/+_(10g)	ZNF207_direct_-/+_(18g)	ZNF610_direct_+/+_(10g)
0	873	690	0.492108165512633	0.2387604941853047	0.382916722067101	0.24087978611155816	0.11098512265590596	0.05198703831292578	0.06393675672635757	0.3615007025163849	0.3474606249892591	0.09166868122791533	0.13729490759207547	0.051134515960807175	0.057976958918919914	0.44153686344900944	0.4033808552427472	0.2970432065578698	0.13863751828760146	0.14897245591791056	0.35869730067464217	0.2023831562224063	0.05936536543417369	0.14902654050141081	0.20867640052298006	0.2547226335999155	0.2746014914109039	0.10286966747735965	0.1198310051720502	0.03893252621730687	0.09174228293257508	0.048055930407845004	0.34881763161912077	0.05210155285342814	0.05615925979834608	0.37561689277192317	0.03057771572929127	0.025108701483798537	0.3847385930505695	0.06707556560927644	0.45071632761600844	0.05049514967354768	0.26140647007920764	0.1192981671521759	0.12597039400788898	0.23595352765343455	0.013862075078668601
1	589	71	0.2415794460955334	0.0583356500787693	0.1336392783305336	0.09370024535862631	0.1795354442126038	0.08554644519885503	0.09715090326090375	0.2470992595413675	0.1777638306905654	0.06470767893432317	0.13133156738596713	0.24410436663390495	0.20360289260732362	0.15679970495757414	0.1172620788306209	0.1467838409261579	0.13750816615394143	0.15457993508813264	0.1260517156793224	0.2034599978132734	0.24827174053495282	0.18506733571664435	0.12247491062583449	0.09476095790043791	0.09577466305348128	0.2604351741181031	0.1968137245304838	0.04410605478626014	0.05534587346473566	0.19736676592778798	0.0954885787713026	0.2218717727821159	0.20483141795411414	0.0735551466041985	0.04302251515871271	0.029769758094681024	0.26715526338458884	0.07528611634396751	0.17255343398901996	0.19802495820069146	0.09632027094355226	0.23069968322584936	0.3155758711289141	0.07933303183012444	0.007021794374811551
2	396	280	0.49174858016601136	0.23327136039292	0.3875489774464832	0.2788165463352571	0.08372533870504932	0.05006168831168826	0.06422084889001467	0.33929610915668373	0.3531959638376976	0.09451328488025731	0.13559305373525554	0.045075923634166085	0.05517836813959491	0.44864262505460895	0.4068730455726472	0.30539228256120954	0.11618382088678555	0.12738184468486677	0.362094761265437	0.2097325839298316	0.05264353286295363	0.0999034330857725	0.2651722572629969	0.3045904383127445	0.2902834053249158	0.07599166530144164	0.09078289447555499	0.033396096279406526	0.09427295993379706	0.044727075567508025	0.3893746056016698	0.047327783210906124	0.05109699440584795	0.3794493563184374	0.029096422725319857	0.030606979030144123	0.380185124508519	0.057923394591218064	0.5219630045031421	0.0471547803095688	0.3023902281649207	0.09418573017196866	0.08854521625163823	0.214106869812145	0.015880570117955423
3	333	270	0.46305880097929025	0.2822004448151237	0.4005091530750934	0.12360428055073687	0.18229588680659015	0.048464945067391504	0.06236526210892099	0.3737985168493779	0.37295496520048727	0.10144770848134758	0.1570662022879148	0.05603586809859648	0.061285635509390465	0.40827210046437873	0.36210618714642534	0.311538679352135	0.2358723100708759	0.23919897441364132	0.3067429304942047	0.22479177012816154	0.06928176617875553	0.17581178188041927	0.09414712878015626	0.146081382556999	0.18172232511617442	0.16702899063691617	0.22287242111910816	0.03496300330324874	0.21677602274410374	0.051980987426323774	0.2723065403153748	0.05870017385337591	0.0630472477537464	0.35066838936203637	0.02917852757016786	0.027598121620735452	0.39887274889568464	0.20769145936536887	0.18306934316108625	0.05895753612804403	0.1466126698846242	0.22769210967987724	0.21872579001019363	0.22452854230377162	0.011542926718767684
4	301	49	0.4193755130845563	0.10827002471825534	0.2500477828746177	0.10695398391128538	0.19063429345463823	0.09810698257618304	0.10887605369801914	0.25926710616646464	0.2139969075066836	0.08890486970434543	0.13775822255507703	0.19555588754058026	0.1674473077250722	0.2664146851401111	0.21488969803276206	0.2872216297767611	0.1913950512640542	0.21723113302405564	0.15608977237497515	0.2699196827637194	0.23177396236841577	0.22121706990645387	0.10827794420520498	0.10917990561440265	0.1330190623865517	0.28746608066009277	0.21909991130174614	0.050101352593318306	0.09023072002265968	0.19990348695179247	0.15549782604173165	0.22643312755251352	0.2231991720814977	0.11464618401370606	0.049270136315975196	0.03439135190532027	0.306709885789178	0.09270363545385961	0.22324219031296352	0.23350444960424818	0.10533240558895166	0.23757155906566127	0.289488547712663	0.14933047632916568	0.0049959433314610184
5	246	152	0.4785267243620696	0.18609654000165826	0.35360553225092545	0.2813513014590234	0.08821870443439357	0.24585914065815076	0.23290446671184165	0.13571421764212555	0.156518733761008	0.08030083549156457	0.13220867535812003	0.05687937397757087	0.06670805034416882	0.3868712779655561	0.3540681889416927	0.27232673951532194	0.10865540750008519	0.12375672477800602	0.17606208428694617	0.23280358181975755	0.08644946285895995	0.11322993231038857	0.16455447499195233	0.14493618712137551	0.1780861715439911	0.2141089573189951	0.1537987613947295	0.2540628190118377	0.06706928574855447	0.06023278751768909	0.30789496038771746	0.07011016312269044	0.07031078020880825	0.23291814963941368	0.18867663372142332	0.19385194562335337	0.17584864900209235	0.05375008647685522	0.3023083190951974	0.0641398297432998	0.12585466957294983	0.16997333304069176	0.16495503380009655	0.16931763819589746	0.012023177209077727
6	122	36	0.4508481664444967	0.15808762960903627	0.3118549311926605	0.1859094729688645	0.18518738426554232	0.09280866771692456	0.107294905729876	0.372029078813241	0.3060331675993537	0.0918242053563154	0.16829553177030238	0.19397767809045496	0.15861356652306224	0.3471500169894665	0.30835937639716005	0.27677964661909615	0.18373438517380303	0.20614219184105853	0.2666873164654174	0.24925997804438169	0.20901569546298768	0.2154264356099218	0.16375987512742096	0.17945361243050584	0.1951479519317741	0.26507781972052324	0.22455080880157327	0.055315259333733595	0.10306367864424053	0.15991031988738405	0.23940871937176725	0.18390640971806907	0.17247331375995348	0.24561904683612287	0.0441237065799287	0.026809266412718802	0.4009094673802242	0.10311348740096923	0.3407098656525262	0.16626924123008255	0.18149554900075426	0.24991196367343152	0.3307827896704043	0.15371101861290437	0.004761297995242945
7	23	1	0.4680075276405551	0.1060374386062459	0.4095470183486238	0.2241134181018295	0.155961040841069	0.1527467333889352	0.1044445301056202	0.1427115188583078	0.1698183860700243	0.1508896302474284	0.2325688073394495	0.1036159149271702	0.0952476617781647	0.3392966360856269	0.3113632705617254	0.3002592740327084	0.1956583962278363	0.2420699166516759	0.1244188359314785	0.3695012938132204	0.1246047474837445	0.2068637444784233	0.1675267584097859	0.1216816318563341	0.1389822113106775	0.2222381498470948	0.178639607079974	0.1027920908214988	0.0729644495412844	0.0947503375829064	0.3116717635066259	0.1016724138662323	0.0974845178162241	0.0994870277202328	0.0971360412146129	0.0524505070014485	0.2535359327217125	0.0901838886206341	0.2291225593977887	0.095987848952718	0.097533997006962	0.181651376146789	0.3085626911314985	0.2001783893985728	0.0060397553516819
8	21	9	0.44824747118325103	0.11429277484323351	0.27692299524294933	0.23947547257542423	0.16890796936668495	0.2050739814042566	0.1954202680052653	0.23503883732436762	0.17399814156039578	0.0653090538411639	0.13732585796805977	0.1932217356249578	0.16322288939981294	0.3241802582398912	0.2708769247277214	0.2424101404955014	0.15146276796071162	0.1688858463308304	0.16462378691065194	0.24600094095506936	0.2278555499473821	0.1818797900857024	0.1286845905538566	0.13033360805662186	0.14422740999172057	0.3175583481991165	0.2220065074805136	0.1969544635750492	0.07118586476384636	0.16828549254007966	0.23370427001925473	0.19706167058531887	0.18099981354178793	0.17943205857529618	0.13771548776687909	0.1126021603447967	0.269688668025824	0.08907361207980873	0.27556587992367804	0.18376424798443142	0.11536510484067247	0.251427115188583	0.2734284743459055	0.1138860573111337	0.0026078831124702667
