group	ATF3_direct_-/-_(13g)	BACH1_direct_-/+_(33g)	BACH1_direct_-/-_(16g)	BACH2_direct_+/-_(57g)	BACH2_direct_-/+_(338g)	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/-_(119g)	BCL11A_direct_-/+_(57g)	BCL11A_direct_-/-_(49g)	CREB1_direct_-/+_(11g)	CREB1_direct_-/-_(10g)	CREB5_direct_+/+_(287g)	CREB5_direct_+/-_(274g)	CREB5_direct_-/+_(40g)	CREB5_direct_-/-_(38g)	ELF2_direct_-/-_(23g)	FOXO1_direct_-/+_(203g)	FOXO1_direct_-/-_(153g)	IRF8_direct_-/-_(123g)	KLF3_direct_-/+_(13g)	KLF4_direct_+/+_(412g)	KLF6_direct_+/+_(90g)	KLF6_direct_-/-_(16g)	LEF1_direct_+/+_(188g)	LEF1_direct_+/-_(142g)	LEF1_direct_-/+_(192g)	LEF1_direct_-/-_(165g)	POU2AF1_direct_+/+_(73g)	RUNX3_direct_+/+_(208g)	RXRA_direct_+/+_(616g)	RXRA_direct_-/+_(18g)	SPI1_direct_+/+_(721g)	SPI1_direct_+/-_(359g)	SPI1_direct_-/-_(62g)	SPIB_direct_+/+_(241g)	SPIB_direct_+/-_(38g)	SPIB_direct_-/-_(40g)	TBX21_direct_+/+_(228g)	TBX21_direct_-/+_(26g)	TCF7L2_direct_+/+_(451g)	TCF7_direct_+/+_(141g)	TCF7_direct_-/-_(55g)	ZEB1_direct_-/+_(10g)	ZNF207_direct_-/+_(18g)	ZNF610_direct_+/+_(10g)
B cells	0.27768344202310746	0.25964580428332085	0.2725509727126686	0.2994511930285134	0.2546627947255805	0.4362658811693817	0.40144582161483044	0.22143358350647235	0.22921323571365904	0.2591117161396356	0.26755603519810867	0.26943736946051844	0.2764330350702081	0.27143039574472705	0.2720535885319848	0.2706883342248607	0.25325595218041363	0.2572803676534259	0.23647027588884728	0.283650137813378	0.2895962174960516	0.2584859962794175	0.26387517891413637	0.24588198630511804	0.2544436210160961	0.3240732088070941	0.2841733485060146	0.49148560545622666	0.24186078248483178	0.27860430612625187	0.2725099480016635	0.2827656321629438	0.27975308703895363	0.24951045387256165	0.47521953629932534	0.4938050262665459	0.22992536828887356	0.24169813374768112	0.258394226819854	0.2783986662403709	0.23702839483408433	0.2895619509168055	0.2790861512395293	0.2568132514938617	0.2277644700813678
FCGR3A+ monocytes	0.20655668743070665	0.19080211087743615	0.19879524304041452	0.19129995149197865	0.22848879360103413	0.2212052730274583	0.22013058929003104	0.2031503159135174	0.1985902835671688	0.20760397467450198	0.20838877026144664	0.2655220803748778	0.25160448622978204	0.19769508413310843	0.19491252025962413	0.2099299884858773	0.2194836218333459	0.22192984853827258	0.19192897931939334	0.21922031386000174	0.2663907154189352	0.2272668276624208	0.19494769254113753	0.19181484902710633	0.1944229404152692	0.24488717994545417	0.2274658006317939	0.2044339422925453	0.2041139219733803	0.27309041718746374	0.19125886614849996	0.27475138851531	0.27129773438064164	0.1852139044913057	0.21186007456648237	0.20157308796965656	0.20556871427412737	0.21140567654679732	0.19537773539983372	0.2805424873850827	0.1910088838006626	0.22942313937246384	0.23679462896383274	0.19936232400866238	0.17960058086469355
NK cells	0.32737611707432357	0.3599781841185239	0.3408752530909457	0.2712126399169039	0.3857068228240528	0.2841280301374838	0.29538191185187634	0.3469985739799306	0.35025651843714123	0.3297348009710873	0.33654043356895413	0.3064601987820087	0.31155517503866603	0.3295867314693558	0.3273677872749847	0.3379380026888742	0.3949321841768081	0.3853910645893017	0.32830811023674356	0.3337851973488256	0.3120862357347127	0.35315106263359575	0.2590378608117808	0.28613346188841915	0.3002144428632375	0.35555967304473945	0.3920251407256824	0.27221722319170205	0.4384971101956928	0.30626318944148634	0.31024733323900966	0.3081978179109299	0.31276146128383997	0.3372862616927139	0.2788605645788863	0.27238852480326914	0.34420969047661254	0.47039440346170147	0.25746363185247667	0.3126195772722028	0.2858416436918032	0.38819798417612006	0.36895863473723733	0.33562865353412363	0.25009972028332894
Plasmacytoid dendritic cells	0.16904827022282598	0.16827213987398082	0.16922349169314266	0.16908890962857226	0.16941762851503062	0.17045632188529658	0.1693784019435669	0.16821469043057014	0.168364175311151	0.16994843605477206	0.16995378144412365	0.16974963679682364	0.16950757744887068	0.1688078274734338	0.16882885582114426	0.16910311889254914	0.16946544875652725	0.16973605138549663	0.16815798667326765	0.1700451965184897	0.16979662377328908	0.1696204412625365	0.1689141392800706	0.16840034677249482	0.16845161724108582	0.16989236275858388	0.16937579254505397	0.17002340849513187	0.16856735164340464	0.16971291667635446	0.16902821908359222	0.16964667941033973	0.16951590141531614	0.16799783625162767	0.17045386630424397	0.1693237607456819	0.16863383248484953	0.16904920064158813	0.16847742176621439	0.1696086266698943	0.1682274974730319	0.16933962045939877	0.17033241684067135	0.16898313939393206	0.1682751793072491
T cells	0.33965283527972845	0.33869082988013177	0.34121004291804513	0.36835325612210834	0.2918532788802828	0.2905901826554269	0.3020121003637105	0.3389294958217862	0.3478021768227876	0.32277546010038627	0.3212817781992596	0.28839854630828576	0.30407571585587934	0.34668700234021865	0.3471197433637482	0.34007110884438096	0.3041920316978669	0.3064978158497428	0.3551812534324291	0.32927186567323996	0.28810075745925057	0.2913441195456953	0.3837498859963938	0.382018633412761	0.3631260280198304	0.273499336844814	0.28421480299171975	0.2709348604903692	0.31633875713464665	0.2948078644574007	0.3614941031216933	0.29032638325106963	0.29482814311854744	0.35301440389435845	0.2818569506775841	0.28709646607721406	0.34257328853678404	0.2862825151364823	0.3804164967818787	0.29330440740620434	0.3801931444119948	0.2830482774232915	0.26377402879984235	0.33360632967684756	0.2687379803896832
unknown	0.5323470561304335	0.520521960737756	0.5239891106371414	0.5410604784612306	0.5261902020705113	0.46434947781835423	0.47843070112554953	0.5600462916330635	0.5467962070220688	0.48084877444593166	0.5045094320595511	0.5243743405783892	0.5307462349485152	0.5352806570111885	0.5346700275224088	0.5242605039421692	0.5149045159723835	0.517396921050379	0.5558488739706517	0.5170341257090766	0.5160993991991373	0.545336767935702	0.5444836234509073	0.5569079859541126	0.5576335505060188	0.4956198767094332	0.5042723312195351	0.42804814344758213	0.4796947953216488	0.5205920946556994	0.5317690535513557	0.5167775805026917	0.5211436057386212	0.5401837026945191	0.4388620855309109	0.3862518292127858	0.5529320445306657	0.465596102970502	0.5638362627064462	0.5137311604511369	0.5635342689087559	0.4962616366802983	0.4837147230934301	0.5325905294848612	0.3290902398716625
