group	n_cells	n_cells_scored	ATF3_direct_-/-_(17r)	BACH1_direct_-/+_(44r)	BACH1_direct_-/-_(16r)	BACH2_direct_+/-_(71r)	BACH2_direct_-/+_(453r)	BCL11A_direct_+/+_(581r)	BCL11A_direct_+/-_(145r)	BCL11A_direct_-/+_(90r)	BCL11A_direct_-/-_(52r)	CREB1_direct_-/+_(19r)	CREB1_direct_-/-_(17r)	CREB5_direct_+/+_(322r)	CREB5_direct_+/-_(284r)	CREB5_direct_-/+_(42r)	CREB5_direct_-/-_(36r)	ELF2_direct_-/-_(38r)	FOXO1_direct_-/+_(395r)	FOXO1_direct_-/-_(305r)	IRF8_direct_-/-_(245r)	KLF3_direct_-/+_(19r)	KLF4_direct_+/+_(536r)	KLF6_direct_+/+_(114r)	KLF6_direct_-/-_(18r)	LEF1_direct_+/+_(301r)	LEF1_direct_+/-_(178r)	LEF1_direct_-/+_(252r)	LEF1_direct_-/-_(196r)	POU2AF1_direct_+/+_(71r)	RUNX3_direct_+/+_(401r)	RXRA_direct_+/+_(1082r)	RXRA_direct_-/+_(20r)	SPI1_direct_+/+_(2758r)	SPI1_direct_+/-_(510r)	SPI1_direct_-/-_(176r)	SPIB_direct_+/+_(707r)	SPIB_direct_+/-_(43r)	SPIB_direct_-/-_(102r)	TBX21_direct_+/+_(524r)	TBX21_direct_-/+_(37r)	TCF7L2_direct_+/+_(622r)	TCF7_direct_+/+_(198r)	TCF7_direct_-/-_(64r)	ZEB1_direct_-/+_(10r)	ZNF207_direct_-/+_(20r)	ZNF610_direct_+/+_(11r)
0	873	690	0.15320829023901653	0.09064375030904587	0.045911914198907604	0.21682350343471543	0.033929681030596334	0.004174972567006605	0.11375529645792244	0.03411757522181486	0.038974391777957466	0.15122982678045127	0.3138665631456456	0.019473097290217272	0.570683177715956	0.4825407821823255	0.1280228416339366	0.16756851479469653	0.05735058749027784	0.22620349771306864	0.008239784670156092	0.06976449974108281	0.0006338270940962497	0.039451849457764615	0.3228973312835279	0.03454761254118469	0.007586364378188832	0.011448500248358265	0.0629865820170627	0.007343418102748535	0.01735183038069547	0.00481004216446623	0.08209016050491294	0.003327689091060802	0.19801737492172342	0.010635102692481059	0.004156902069887567	0.3339067966597709	0.03263713332597499	0.013794457307253682	0.08889603040458988	0.00014462090229089283	0.026867987258644647	0.019179393689231286	0.0008380081555935299	0.2297855938231195	0.1520466080730252
1	589	71	0.2512220059130238	0.07023781698529045	0.2718092085714375	0.2603867253654389	0.14266817696160977	0.030005781379236422	0.10983470412094809	0.028412461593157974	0.08284780171831993	0.23903757761689878	0.27048597446128614	0.18195284345958337	0.5125424329734463	0.33119704234735525	0.2797446459793627	0.2770460908443049	0.09999084622058378	0.19529266335334663	0.04563623612172061	0.11858744363983023	0.07677386472223614	0.06993751962080459	0.26812215608651785	0.01898378792033918	0.0369674423939982	0.08606689859094356	0.06226442918798916	0.0016916580508847736	0.013606533939927825	0.06697031989752496	0.01455805675715403	0.0687566789500954	0.16790319540877435	0.06667942313603417	0.028393921863027295	0.333203347566302	0.06789816638856794	0.010708512832943181	0.057597899670320835	0.047686435874264715	0.0	0.0	0.03688605092692503	0.17877377522965907	0.07635555525225318
2	396	280	0.15718923145540692	0.0809118506132996	0.04952774539196087	0.20721286971216593	0.025933293673729364	0.0035564377457073847	0.1136972013184423	0.026575744036603417	0.04049443990941322	0.14216727277888255	0.2988598870594207	0.0188625001748809	0.5715922282529287	0.477386447583697	0.12242842293849951	0.1622143090905144	0.05237806300722159	0.23461122327503753	0.008024281188634153	0.050287047565616194	9.341231645141937e-05	0.022866160793945732	0.2754491053583325	0.052781904559540016	0.005280430577938181	0.007803888173820074	0.07088294594986559	0.007834292005642509	0.017500104431032393	0.003493703343972554	0.10071269947019443	0.002425801735960637	0.20103879937495758	0.00962198316201892	0.0035628545519169547	0.32986330449320234	0.030345786438048406	0.012375227069025302	0.1101177721930553	6.422694674737739e-05	0.054395035744969074	0.04216082507494999	0.0	0.22112258494337106	0.13715820044933966
3	333	270	0.14455565086843578	0.13138662328369188	0.05432193866640342	0.23777149204767098	0.07051865403986796	0.006430790683858872	0.12079823611277733	0.07974360485784963	0.0421150619435096	0.18930225853329746	0.2889444800053414	0.03393618910399989	0.5644502676648304	0.4310840881701049	0.1273244334595409	0.17384279010008052	0.09211830650171329	0.19490907566041443	0.006112543766488706	0.08847915554672449	0.008467227701647656	0.05036176517654748	0.31861034116259024	0.014747736227473201	0.014260056804041169	0.021934265065695915	0.05386372342013021	0.002576303677916651	0.06910686226833451	0.0065366860771382115	0.07841901695166181	0.006567398712201168	0.1941484737601705	0.011775202614642941	0.005211938555825859	0.30693158336589843	0.03472209118717106	0.06868718218891043	0.0556797081336277	0.0003075596381023768	0.003775506024623846	0.00854860905486872	0.0001562332930309826	0.21519628889382383	0.09861383095893418
4	301	49	0.217409682060699	0.06931500417985614	0.2196754034725149	0.24355246034756808	0.10295138346446932	0.027529845395141937	0.11418045956695064	0.032049885614176044	0.07575343979645868	0.21112121695692543	0.28086131187984853	0.12809874612964178	0.5226335647845386	0.3482827127234257	0.22389835347863327	0.25410288593855435	0.0987655865692569	0.2007400590231396	0.036070404449696725	0.11130877541240553	0.06073095311488617	0.0644228985585374	0.293571733231008	0.018729748379527764	0.031058964843076617	0.0797881856971715	0.0675596157238133	0.004840916952493762	0.016660485005065593	0.057023414261270076	0.028440676737050537	0.05560557052904462	0.1824984090904849	0.05579756507411876	0.02534673504138323	0.35420224517304866	0.0645177902384582	0.011976605615470095	0.06105802603375645	0.04232122916152881	0.0009958202353748042	0.0011904620275825061	0.03441787107914448	0.1962537446690868	0.09053807459632143
5	246	152	0.14234950177693712	0.07216502461941902	0.05907045157029812	0.19151261402702124	0.027940027769205157	0.04889245988276032	0.09094696598718414	0.0054707112087717495	0.09606653650153155	0.15711232523962168	0.30920322124431665	0.03305861772657168	0.5470686229771536	0.4579027167630379	0.13408320703676427	0.1933441340737446	0.056891776420279684	0.22333029298653734	0.027865454537647966	0.07647175659440332	0.015134375862979662	0.03093526035479779	0.26753359196533044	0.02437242203785026	0.022542490235499694	0.03741523682067701	0.06636109552695858	0.0716609094472394	0.0125151249592045	0.01602232263486302	0.11624549277090122	0.011288668121824141	0.20164088663972896	0.03395547887665527	0.042982795666020694	0.29356919608334003	0.05493930832031021	0.008990651192584654	0.05533496872165825	0.007878525455679507	0.0015017824964702207	0.00486162779272878	0.005485305118225256	0.2295542737590144	0.06072061740870249
6	122	36	0.1910193494823349	0.08681550963779475	0.13814729223727387	0.2332168486528021	0.07925167866994724	0.015626542845344715	0.12201067742832998	0.03239685203005947	0.0655035769126375	0.1968002488269678	0.30210415278703084	0.08660987567984348	0.5400779370873252	0.4191286496832799	0.192480047595156	0.20870759649512408	0.08778952022296117	0.20990931162265025	0.016617757473853367	0.08673441227615634	0.025915322850916737	0.07440215295066442	0.32596084777500867	0.025760368359488275	0.016944401471289866	0.04615552937273638	0.06514399193684427	0.0037491090099210167	0.023419764429083192	0.02881615070339218	0.05690558146420899	0.024837788872002907	0.20120259938061139	0.033460174277754176	0.014482513255608377	0.36800035979458995	0.05402453193876553	0.02088403108699369	0.06355439383420725	0.01316809495507615	0.006769352293632361	0.007195579104670909	0.01296666419917584	0.24145862634786683	0.1473846279808971
7	23	1	0.1277644968713668	0.082129590374094	0.0815775594048412	0.1893698410762152	0.0281097860195238	0.0308975504186728	0.0993958050954536	0.0014570533224763	0.0783558824031842	0.1486377502717486	0.2787030868310015	0.0294668978445011	0.516189129000072	0.3656186880703869	0.1070644261850124	0.2400534146826092	0.0756449286973241	0.2060360488271935	0.0274415695658676	0.08501934382926	0.0311274656033622	0.0600174932111535	0.3346904532780615	0.0120370103946944	0.0290093745243495	0.0384699441994578	0.0652286230948075	0.0380497508703118	0.0102768838507772	0.0399896680093739	0.1115478569842327	0.0207303180524078	0.1881623579922753	0.0364971332243151	0.0282685972984849	0.3274922661378203	0.0612521935267555	0.0090664747674578	0.0599360186302224	0.0187675883101869	0.0	0.0110204308238951	0.1334887852542749	0.2370253164556962	0.0461207679728665
8	21	9	0.1912900477386898	0.06575806925573742	0.1357420670170503	0.21695430311282649	0.057493924825196205	0.04766538208500589	0.10379219302925333	0.007621942024932567	0.10102975034687223	0.201509584903112	0.3008023699523484	0.08791125676969894	0.5368085769285439	0.4263932804350304	0.19252768387604421	0.22416439722446238	0.08215985404948033	0.21792882866593286	0.03247530117236022	0.08008306353269355	0.03656927259475804	0.04810091950828531	0.28122472535456466	0.02028576658668221	0.027963532703818152	0.0685491467377617	0.07398236146927493	0.03924318234027249	0.0142652350789569	0.03721116389534604	0.07607767661065458	0.029251696462557524	0.2045582296382416	0.05259702005621388	0.042343014797022314	0.3384467776578462	0.0688958510835429	0.011272336207112455	0.054067058397504725	0.022601462071611608	2.9659738002322223e-05	0.000850898783527	0.03419078638932067	0.2254934981617193	0.08853132703898857
