	ARID3A_direct_-/+_(6g)	ATF3_direct_+/+_(4g)	ATF3_direct_-/+_(3g)	BACH1_direct_+/+_(34g)	BCL11A_direct_+/+_(16g)	BCL11A_direct_+/-_(5g)	CHD2_direct_+/+_(3g)	CREB5_direct_+/-_(6g)	E2F1_direct_+/+_(3g)	EGR2_direct_+/-_(4g)	ELF2_direct_+/-_(16g)	FOS_direct_+/-_(19g)	FOS_direct_-/-_(3g)	HES2_direct_+/+_(3g)	HMGXB4_direct_+/+_(4g)	IRF4_direct_-/+_(3g)	IRF4_direct_-/-_(3g)	IRF7_direct_+/-_(5g)	JUNB_direct_+/+_(3g)	STAT1_direct_-/+_(3g)	STAT2_direct_+/+_(15g)	STAT2_direct_+/-_(12g)	TAL1_direct_+/+_(4g)	TBL1XR1_direct_+/+_(3g)	TCF12_direct_+/-_(5g)	TCF7L2_direct_+/+_(38g)	ZBTB7A_direct_+/+_(8g)	ZNF91_direct_+/+_(4g)
B cell	0.0387926103866392	0.047464824982841436	0.27196293754289635	0.06358250232145016	0.07468792896362385	0.08725120109814685	0.17913520933424842	0.0357040722946694	0.005404941660947149	0.0	0.02788799759780368	0.02815807535310476	0.3410832761381835	0.00440402653854953	0.008943891557995878	0.12494280485014868	0.12494280485014868	0.034557309540150974	0.03503202928391671	0.008607870052619537	0.05482727064744906	0.03797757950125826	0.0015657172271791341	0.019989704873026762	0.020933424845573083	0.0549299208900769	0.02468685655456415	0.021362388469457778
Myeloid	0.04070231226505812	0.15535667453448726	0.17091747530378526	0.12852846685487723	0.019142981248360846	0.008979150275373717	0.2434817291721304	0.14703536148264706	0.006474560713349067	0.0008810319958038279	0.051201276881720395	0.05890685604648912	0.209180216802168	0.007468965818690442	0.009756917125622867	0.15726899204475914	0.15726899204475914	0.03178271702071858	0.15573913803654163	0.007802255441909257	0.08827039076842377	0.05847320569979891	0.0005941843692630474	0.015342250196695512	0.01822056123787043	0.09820541223239053	0.028027062024652487	0.021611919748229732
T cell	0.08800759896678077	0.04371283114074607	0.2821679581906649	0.053883582627500405	0.017037135069381846	0.008325824472877993	0.22856971226046732	0.03253213792274883	0.009033159127770767	0.0013121733645701922	0.028489085871328132	0.03342944674716162	0.39142938667627797	0.003506637832642517	0.01177013876374121	0.1773442662341563	0.1773442662341563	0.01897188682645521	0.10313419835405777	0.017615786628221296	0.045789031056646806	0.03407145431609296	0.0	0.033864960653571204	0.02089565687511262	0.046678633419013335	0.0389625382951883	0.03215106325464046
unknown	0.07344697548794779	0.05351819293685979	0.23578199052132698	0.054882325962031304	0.02191226494419811	0.011664883045405895	0.2137924884064618	0.038596290067777594	0.014485552667787796	0.0012230545788105784	0.03172058935942513	0.034507036587033975	0.318733119298782	0.004726596341028383	0.01035774346430209	0.15425775875248432	0.15425775875248432	0.022206084696529575	0.09556387912143911	0.0166131580288437	0.04875910920858174	0.0323122101615451	0.0026085460938694376	0.03534118126688069	0.025485399785965437	0.04850779294973403	0.038588327472863455	0.030738801406512754
